ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	STRICTID	LOOSEID	COMMONID	AUTOMORPHEMES	SALIENTID
214	Jixi	Hui	throw	pʰɤ⁵⁵	pʰɤ⁵⁵	pʰ ɤ ⁵⁵	64	throw/拋	i n t		拋		1 7 8	AXT	PE5	9	9.P.C 9.E.V 9.5.T	1.6 3.0 1.0	0	45	539	1047	THROW	40
215	Suzhou	Wu	throw	toʔ⁴	toʔ⁴	t o ʔ ⁴	65	throw/?	i n c t		?		1 7 1 8	AXLT	TUH6	15	15.T.C 15.U.V 15.H.c 15.6.T	1.6 3.0 1.1 1.0	0	46	542	1049	THROW	41
216	Wenzhou	Wu	throw	ga²²	ga²²	g a ²²	68	throw/掼	i n t		掼		1 7 8	AXT	KA1	17	17.K.C 17.A.V 17.1.T	1.6 3.0 1.0	0	47	543	1050	THROW	42
217	Changsha	Xiang	throw	ʐən¹³	ʐən¹³	ʐ ə n ¹³	845	throw/仍	i n c t	!b	仍		3 7 4 8	AXLT	SEN2	2	2.S.C 2.E.V 2.N.c 2.2.T	1.6 3.0 1.1 1.0	1	48	536	1045	THROW	43
218	Changsha	Xiang	throw	ɕuai⁴¹	ɕwai⁴¹	ɕ w ai ⁴¹	62	throw/甩	i m n t		甩		3 6 7 8	ACXT	SWA3	2	2.S.C 2.W.C 2.A.V 2.3.T	1.6 1.2 3.0 1.0	0	49	544	1051	THROW	44
219	Loudi	Xiang	throw	liɤ¹¹	ljɤ¹¹	l j ɤ ¹¹	61	throw/撂	i m n t		撂		5 6 7 8	ACXT	LJE1	10	10.L.C 10.J.C 10.E.V 10.1.T	1.6 1.2 3.0 1.0	0	43	540	1044	THROW	38
222	Nanchang	Gan	throw	tiu⁴²	tju⁴²	t j u ⁴²	69	drow/丟	i m n t		丟		1 6 7 8	ACXT	TJY3	12	12.T.C 12.J.C 12.Y.V 12.3.T	1.6 1.2 3.0 1.0	0	50	538	1043	THROW	45
223	Meixian	Hakka	throw	tiu³³	tju³³	t j u ³³	69	drow/丟	i m n t		丟		1 6 7 8	ACXT	TJY4	11	11.T.C 11.J.C 11.Y.V 11.4.T	1.6 1.2 3.0 1.0	0	50	538	1043	THROW	45
224	Guilin	Pinghua	throw	tiou⁴²	tjou⁴²	t j ou ⁴²	69	drow/丟	i m n t		丟		1 6 7 8	ACXT	TJU3	6	6.T.C 6.J.C 6.U.V 6.3.T	1.6 1.2 3.0 1.0	0	50	538	1043	THROW	45
225	Guangzhou	Yue	throw	tiu⁵⁵	tju⁵⁵	t j u ⁵⁵	69	drow/丟	i m n t		丟		1 6 7 8	ACXT	TJY5	5	5.T.C 5.J.C 5.Y.V 5.5.T	1.6 1.2 3.0 1.0	0	50	538	1043	THROW	45
228	Fuzhou	Min	throw	kʰœ³²	kʰœ³²	kʰ œ ³²	70	throw/抾	i n t		抾		1 7 8	AXT	KU3	4	4.K.C 4.U.V 4.3.T	1.6 3.0 1.0	0	51	537	1046	THROW	46
229	Xiamen	Min	throw	liŋ⁵⁵	liŋ⁵⁵	l i ŋ ⁵⁵	60	throw/仍	i n c t		仍		5 7 4 8	AXLT	LIN5	19	19.L.C 19.I.V 19.N.c 19.5.T	1.6 3.0 1.1 1.0	0	42	535	1042	THROW	37
3865	Beijing	Mandarin	tie	kʰuən²¹⁴	kʰwən²¹⁴	kʰ w ə n ²¹⁴	696	tie.up/捆	i m n c t		捆		1 6 7 4 8	ACXLT	KWEN6	1	1.K.C 1.W.C 1.E.V 1.N.c 1.6.T	1.6 1.2 3.0 1.1 1.0	0	886	545	1052	TIE	715
3866	Ha_erbin	Mandarin	tie	kʰuən²¹³	kʰwən²¹³	kʰ w ə n ²¹³	696	tie.up/捆	i m n c t		捆		1 6 7 4 8	ACXLT	KWEN6	7	7.K.C 7.W.C 7.E.V 7.N.c 7.6.T	1.6 1.2 3.0 1.1 1.0	0	886	545	1052	TIE	715
3867	Jinan	Mandarin	tie	kʰuẽ⁴⁵	kʰwẽ⁴⁵	kʰ w ẽ ⁴⁵	696	tie.up/捆	i m n t		捆		1 6 7 8	ACXT	KWE2	8	8.K.C 8.W.C 8.E.V 8.2.T	1.6 1.2 3.0 1.0	0	886	545	1052	TIE	715
3868	Rongcheng	Mandarin	tie	paŋ²¹⁴	paŋ²¹⁴	p a ŋ ²¹⁴	697	tie/綁	i n c t		綁		1 7 4 8	AXLT	PAN6	14	14.P.C 14.A.V 14.N.c 14.6.T	1.6 3.0 1.1 1.0	0	887	546	1054	TIE	716
3869	Taiyuan	Jin	tie	kʰuŋ⁵³	kʰuŋ⁵³	kʰ u ŋ ⁵³	696	tie.up/捆	i n c t		捆		1 7 4 8	AXLT	KYN3	16	16.K.C 16.Y.V 16.N.c 16.3.T	1.6 3.0 1.1 1.0	0	886	545	1052	TIE	715
3870	Taiyuan	Jin	tie	tsaʔ²	tsaʔ²	ts a ʔ ²	698	tie.up/扎	i n c t		扎		2 7 1 8	AXLT	CAH6	16	16.C.C 16.A.V 16.H.c 16.6.T	1.6 3.0 1.1 1.0	0	888	547	1053	TIE	717
3871	Xi_an	Mandarin	tie	kʰuẽ⁵³	kʰwẽ⁵³	kʰ w ẽ ⁵³	696	tie.up/捆	i m n t		捆		1 6 7 8	ACXT	KWE3	18	18.K.C 18.W.C 18.E.V 18.3.T	1.6 1.2 3.0 1.0	0	886	545	1052	TIE	715
3872	Xi_an	Mandarin	tie	tsɑ²¹	tsɑ²¹	ts ɑ ²¹	698	tie.up/扎	i n t		扎		2 7 8	AXT	CA3	18	18.C.C 18.A.V 18.3.T	1.6 3.0 1.0	0	888	547	1053	TIE	717
3873	Chengdu	Mandarin	tie	kʰuɛn⁵³⁻⁵⁵ tɕʰi⁵³	kʰwɛn⁵³+tɕʰi⁵³	kʰ w ɛ n ⁵³ + tɕʰ i ⁵³	696 245	tie.up/捆 _raise:SUF/起	i m n c t + i n t		捆 起		1 6 7 4 8 9 2 7 8	ACXLT_AXT	KWEN3_CI3	3	3.K.C 3.W.C 3.E.V 3.N.c 3.3.T 3._._ 3.C.C 3.I.V 3.3.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	889	545	1052	TIE _tie	715
3874	Chengdu	Mandarin	tie	tsa²¹	tsa²¹	ts a ²¹	698	tie.up/扎	i n t		扎		2 7 8	AXT	CA3	3	3.C.C 3.A.V 3.3.T	1.6 3.0 1.0	0	888	547	1053	TIE	717
3875	Nanjing	Mandarin	tie	kʰuən¹¹	kʰwən¹¹	kʰ w ə n ¹¹	696	tie.up/捆	i m n c t		捆		1 6 7 4 8	ACXLT	KWEN1	13	13.K.C 13.W.C 13.E.V 13.N.c 13.1.T	1.6 1.2 3.0 1.1 1.0	0	886	545	1052	TIE	715
3876	Jixi	Hui	tie	põ²¹³	põ²¹³	p õ ²¹³	697	tie/綁	i n t		綁		1 7 8	AXT	PU6	9	9.P.C 9.U.V 9.6.T	1.6 3.0 1.0	0	887	546	1054	TIE	716
3877	Suzhou	Wu	tie	kʰuən⁵²	kʰwən⁵²	kʰ w ə n ⁵²	696	tie.up/捆	i m n c t		捆		1 6 7 4 8	ACXLT	KWEN3	15	15.K.C 15.W.C 15.E.V 15.N.c 15.3.T	1.6 1.2 3.0 1.1 1.0	0	886	545	1052	TIE	715
3878	Suzhou	Wu	tie	tsaʔ⁴	tsaʔ⁴	ts a ʔ ⁴	698	tie.up/扎	i n c t		扎		2 7 1 8	AXLT	CAH6	15	15.C.C 15.A.V 15.H.c 15.6.T	1.6 3.0 1.1 1.0	0	888	547	1053	TIE	717
3879	Wenzhou	Wu	tie	ɦo²¹	ɦo²¹	ɦ o ²¹	696	tie.up/捆	i n t		捆		3 7 8	AXT	HU3	17	17.H.C 17.U.V 17.3.T	1.6 3.0 1.0	0	886	545	1052	TIE	715
