ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	TYPE	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
91	Guangzhou	float	pʰ j u ⁵³ + f ɐu ²¹	float/漂 float/浮	V V	copulative_1 copulative_2	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	copulative  synonyme
92	Fuzhou	float	pʰ j eu ⁵⁵ + l ɛ ³²	float/漂 _float/𡅏	V P	head modifier	20 24	265	252	146	漂口+禮	漂 𡅏		漂浮	i m n t + i n t	漂在
93	Fuzhou	float	pʰ u ⁵³ + l ɛ ³²	float/浮 _float/𡅏	V P	head modifier	21 24	264	253	146	浮口+禮	浮 𡅏		漂浮	i n t + i n t	浮在
94	Xiamen	float	pʰ u ²⁴	float/浮	V	monosyllabic	21	264	249	146	浮	浮		漂浮	i n t	
2240	Beijing	husband	ai ⁵¹ + ʐ ə n ³⁵	love _person/人	V N	modifier head	462 38	437	383	228	爱人	爱 人		丈夫	n t + i n c t	
2241	Beijing	husband	l ɑu ²¹³ + k u ŋ ⁵⁵	old/老 noble.man/公	N N	prefix head	27 80	436	384	229	老公	老 公		丈夫	i n t + i n c t	multisyllabic word
2242	Ha_erbin	husband	ʈʂ a ŋ ⁵³ + f u ⁰	husband/丈 man/夫	N N	modifier head	463 464	438	385	228	丈夫	丈 夫		丈夫	i n c t + i n t	
2243	Ha_erbin	husband	ʈʂ a ŋ ²¹³ + k w ei ⁵³ + t ɤ ⁰	掌 櫃 _:GEN/的	V N G	(verb object):head genitive	465 466 40	443	386	228	掌木+巨的	掌 櫃 的		丈夫	i n c t + i m n t + i n t	
2244	Ha_erbin	husband	l au ²¹³ + j ɛ ²⁴ + m ə ⁰	old/老 _father/爺 _:PL/们	N N S	(prefix head):head inflection	27 242 32	436	387	229	老爷们	老 爷 们		丈夫	i n t + i n t + i n t	
2245	Jinan	husband	ʈʂ ɑ ŋ ³¹ + f u ⁰	husband/丈 man/夫	N N	modifier head	463 464	438	385	228	丈夫	丈 夫		丈夫	i n c t + i n t	
2246	Rongcheng	husband	x ɐ n ³³⁴ + ts i ⁰	han/汉 _?/字	N S	head suffix	468 790	442	388	229	汉字	汉 字		丈夫	i n c t + i n t	!!! 子
2247	Taiyuan	husband	ts ɒ̃ ⁴⁵ + f u ⁰	husband/丈 man/夫	N N	modifier head	463 464	438	385	228	丈夫	丈 夫		丈夫	i n t + i n t	
2248	Taiyuan	husband	x æ̃ ⁴⁵ + ts ə ʔ ⁰	han/汉 _?/字	N S	head suffix	468 790	442	388	229	汉字	汉 字		丈夫	i n t + i n c t	!!!
2249	Taiyuan	husband	l au ⁵³ + x æ̃ ⁴⁵	old/老 _husband/汉	N N	prefix head	27 468	436	389	229	老汉<中青年多说>	老 汉	中青年多说	丈夫	i n t + i n t	
2250	Xi_an	husband	w ɑ ⁴⁴ + tʰ ɑ ²¹ + p ɑ ⁴⁴	child/娃 other/他 father/爸	N Pron N	copulative_1 copulative_2 copulative_3	33 226 470	448	390	231	娃他爸<有孩子年纪不很打的>	娃 他 爸	有孩子年纪不很打的	丈夫	i n t + i n t + i n t	
2251	Xi_an	husband	n æ̃ ²⁴ + ʐ ẽ ⁰	male/男 _person/人	A N	modifier head	471 38	437	391	228	男人	男 人		丈夫	i n t + i n t	
2252	Xi_an	husband	n y ⁵³ + ɕ i ⁰	female/女 son-in-law/婿	N N	modifier head	39 472	444	392	230	女婿<多指年轻的>	女 婿	多指年轻的	丈夫	i n t + i n t	
2253	Xi_an	husband	w ɛ ⁴⁴ + tʰ ou ⁰ + ʐ ẽ ⁰	out/外 _SUF:head/頭 _person/人	N S N	(modifier suffix):modifier head	473 79 38	437	393	228	外头人<与屋里人相对>	外 头 人	与屋里人相对	丈夫	i n t + i n t + i n t	
2254	Chengdu	husband	n a n ²¹ + ɲ i ⁵⁵	male/男 _:GEN/的	A G	head genitive	471 40	441	394	228	男的	男 的		丈夫	i n c t + i n t	
2255	Nanjing	husband	ts ɑ̃ ⁴⁴ + f u ⁰	husband/丈 man/夫	N N	modifier head	463 464	438	385	228	丈夫	丈 夫		丈夫	i n t + i n t	
2256	Jixi	husband	n ɤ ²¹³ + k w ɔ ⁵⁵	female/女 government.official/官	N N	copulative_1 copulative_2	39 474	444	395	230	女官	女 官		丈夫	i n t + i m n t	
2257	Jixi	husband	n ɔ ⁴⁴ + j ɑ̃ ⁴⁴	male/男 _person/人	A N	modifier head	471 38	437	391	228	男人	男 人		丈夫	i n t + i n t	
2258	Suzhou	husband	n ø ¹³ + ɲ i n ¹³	male/男 _person/人	A N	modifier head	471 38	437	391	228	男人	男 人		丈夫	i n t + i n c t	
2259	Wenzhou	husband	l ə ²⁴ + k o ŋ ⁴⁴	old/老 noble.man/公	N N	prefix head	27 80	436	384	229	老公	老 公		丈夫	i n t + i n c t	multisyllabic word
2260	Changsha	husband	ts a n ¹¹ + f u	husband/丈 man/夫	N N	modifier head	463 464	438	385	228	丈夫	丈 夫		丈夫	i n c t + i n	
2261	Changsha	husband	l au ⁴¹ + k õ ³³ + ts ɿ ⁰	old/老 servant/倌 _-child:SUF/子	A N S	(prefix head):head suffix	27 475 19	436	396	229	老倌子	老 倌 子		丈夫	i n t + i n t + i n t	
2262	Loudi	husband	n ã ¹³ + n i n ¹³	male/男 _person/人	A N	modifier head	471 38	437	391	228	男人	男 人		丈夫	i n t + i n c t	
2263	Nanchang	husband	l au ²¹³ + k u ŋ ⁰	old/老 noble.man/公	N N	prefix head	27 80	436	384	229	老公	老 公		丈夫	i n t + i n c t	multisyllabic word
2264	Nanchang	husband	l a n ⁴⁵ + kʰ a ʔ ⁵	male/男 guest/客	A N	head modifier	471 46	441	397	228	男客	男 客		丈夫	i n c t + i n c t	
2265	Meixian	husband	l au ³¹ + k u ŋ ³³	old/老 noble.man/公	N N	prefix head	27 80	436	384	229	老公	老 公		丈夫	i n t + i n c t	multisyllabic word
2266	Guilin	husband	l ɑu ²³ + k ɤ n ⁴²	old/老 noble.man/公	N N	prefix head	27 80	436	384	229	老公	老 公		丈夫	i n t + i n c t	multisyllabic word
2267	Guangzhou	husband	ou ²³ + k o ŋ ⁵³	old/老 noble.man/公	N N	prefix head	27 80	436	384	229	老公	老 公		丈夫	n t + i n c t	multisyllabic word
