ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
58	Wenzhou	skin	bei³⁴¹⁻³³ fu⁴⁴⁻²²	bei³⁴¹+fu⁴⁴	b ei ³⁴¹ + f u ⁴⁴	b e i ³³/³⁴¹ + f u ²²/⁴⁴	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
59	Changsha	skin	pi¹³ fu³³	pi¹³+fu³³	p i ¹³ + f u ³³	p i ¹³ + f u ³³	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
60	Loudi	skin	pʰi¹³	pʰi¹³	pʰ i ¹³	pʰ i ¹³	skin/皮	N	16	786	692	375	皮	皮		皮膚	i n t	
61	Nanchang	skin	pʰi²⁴ fu⁰	pʰi²⁴+fu⁰	pʰ i ²⁴ + f u ⁰	pʰ i ²⁴ + f u ⁰	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
62	Meixian	skin	pʰi¹¹	pʰi¹¹	pʰ i ¹¹	pʰ i ¹¹	skin/皮	N	16	786	692	375	皮	皮		皮膚	i n t	
63	Guilin	skin	pi²² fu⁴²⁻²²	pi²²+fu⁴²	p i ²² + f u ⁴²	p i ²² + f u ²²/⁴²	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
64	Guangzhou	skin	pʰei²¹ fu⁵³	pʰei²¹+fu⁵³	pʰ ei ²¹ + f u ⁵³	pʰ e i ²¹ + f u ⁵³	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
65	Fuzhou	skin	pʰuoi⁵³⁻⁵⁵ u⁵⁵	pʰwoi⁵³+u⁵⁵	pʰ w oi ⁵³ + u ⁵⁵	pʰ u o i ⁵⁵/⁵³ + u ⁵⁵	skin/皮 _skin/膚	N N	16 17	786	690	375	皮膚	皮 膚		皮膚	i m n t + n t	
66	Fuzhou	skin	pʰuoi⁵³	pʰwoi⁵³	pʰ w oi ⁵³	pʰ u o i ⁵³	skin/皮	N	16	786	692	375	皮	皮		皮膚	i m n t	
67	Xiamen	skin	pʰe²¹	pʰe²¹	pʰ e ²¹	pʰ e ²¹	skin/皮	N	16	786	692	375	皮	皮		皮膚	i n t	
68	Beijing	float	pʰiɑu⁵⁵ fu³⁵	pʰjɑu⁵⁵+fu³⁵	pʰ j ɑu ⁵⁵ + f u ³⁵	pʰ i ɑ u ⁵⁵ + f u ³⁵	float/漂 float/浮	V V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
69	Ha_erbin	float	pʰiau⁴⁴ fu²⁴	pʰjau⁴⁴+fu²⁴	pʰ j au ⁴⁴ + f u ²⁴	pʰ i a u ⁴⁴ + f u ²⁴	float/漂 float/浮	V V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
70	Jinan	float	pʰiɔ²¹⁴ fu⁵³	pʰjɔ²¹⁴+fu⁵³	pʰ j ɔ ²¹⁴ + f u ⁵³	pʰ i ɔ ²¹⁴ + f u ⁵³	float/漂 float/浮	V V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
71	Rongcheng	float	pʰiau⁵² fu³⁵	pʰjau⁵²+fu³⁵	pʰ j au ⁵² + f u ³⁵	pʰ i a u ⁵² + f u ³⁵	float/漂 float/浮	V V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
72	Taiyuan	float	pʰiɑu²¹	pʰjɑu²¹	pʰ j ɑu ²¹	pʰ i ɑ u ²¹	float/漂	V	20	265	248	146	漂	漂		漂浮	i m n t	
73	Xi_an	float	pʰiau²¹	pʰjau²¹	pʰ j au ²¹	pʰ i a u ²¹	float/漂	V	20	265	248	146	漂	漂		漂浮	i m n t	
74	Xi_an	float	fu²⁴	fu²⁴	f u ²⁴	f u ²⁴	float/浮	V	21	264	249	146	浮	浮		漂浮	i n t	
75	Chengdu	float	pʰiau⁴⁵	pʰjau⁴⁵	pʰ j au ⁴⁵	pʰ i a u ⁴⁵	float/漂	V	20	265	248	146	漂	漂		漂浮	i m n t	
76	Nanjing	float	pʰiɔ³¹ fu¹³	pʰjɔ³¹+fu¹³	pʰ j ɔ ³¹ + f u ¹³	pʰ i ɔ ³¹ + f u ¹³	float/漂 float/浮	V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
77	Nanjing	float	fu¹³	fu¹³	f u ¹³	f u ¹³	float/浮	V	21	264	249	146	浮	浮		漂浮	i n t	
78	Nanjing	float	piɔ³¹	pjɔ³¹	p j ɔ ³¹	p i ɔ ³¹	float/漂	V	20	265	248	146	漂	漂		漂浮	i m n t	
79	Jixi	float	fu⁴⁴	fu⁴⁴	f u ⁴⁴	f u ⁴⁴	float/浮	V	21	264	249	146	浮	浮		漂浮	i n t	
80	Jixi	float	pʰie⁵⁵ fu⁴⁴	pʰje⁵⁵+fu⁴⁴	pʰ j e ⁵⁵ + f u ⁴⁴	pʰ i e ⁵⁵ + f u ⁴⁴	float/漂 float/浮	V V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
81	Suzhou	float	tʰən⁵²	tʰən⁵²	tʰ ə n ⁵²	tʰ ə n ⁵²	float/氽	V	22	267	250	147	氽	氽		漂浮	i n c t	
82	Wenzhou	float	və³⁴¹	və³⁴¹	v ə ³⁴¹	v ə ³⁴¹	float/浮	V	21	264	249	146	浮	浮		漂浮	i n t	
83	Wenzhou	float	taŋ⁵¹	taŋ⁵¹	t a ŋ ⁵¹	t a ŋ ⁵¹	float/氽	V	22	267	250	147	氽	氽		漂浮	i n c t	
84	Changsha	float	pʰiau³³ fu⁰	pʰjau³³+fu⁰	pʰ j au ³³ + f u ⁰	pʰ i a u ³³ + f u ⁰	float/漂 float/浮	V V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
85	Loudi	float	bɤ¹³	bɤ¹³	b ɤ ¹³	b ɤ ¹³	float/漂	V	20	265	248	146	漂	漂		漂浮	i n t	
86	Nanchang	float	pʰiɛu⁴²	pʰjɛu⁴²	pʰ j ɛu ⁴²	pʰ i ɛ u ⁴²	float/漂	V	20	265	248	146	漂	漂		漂浮	i m n t	
87	Nanchang	float	fəu⁴⁵	fəu⁴⁵	f əu ⁴⁵	f ə u ⁴⁵	float/浮	V	21	264	249	146	浮	浮		漂浮	i n t	
88	Nanchang	float	pʰiɛu⁴² fɛu⁴⁵	pʰjɛu⁴²+fɛu⁴⁵	pʰ j ɛu ⁴² + f ɛu ⁴⁵	pʰ i ɛ u ⁴² + f ɛ u ⁴⁵	float/漂 float/浮	V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
89	Meixian	float	feu¹¹	feu¹¹	f eu ¹¹	f e u ¹¹	float/浮	V	21	264	249	146	浮	浮		漂浮	i n t	
90	Guilin	float	fu²² tɑu²³⁻³³	fu²²+tɑu²³	f u ²² + t ɑu ²³	f u ²² + t ɑ u ³³/²³	float/浮 _fall.down/倒	V V	21 23	264	251	146	浮倒	浮 倒		漂浮	i n t + i n t	
91	Guangzhou	float	pʰiu⁵³ fɐu²¹	pʰju⁵³+fɐu²¹	pʰ j u ⁵³ + f ɐu ²¹	pʰ i u ⁵³ + f ɐ u ²¹	float/漂 float/浮	V V	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
92	Fuzhou	float	pʰieu⁵⁵ lɛ³²	pʰjeu⁵⁵+lɛ³²	pʰ j eu ⁵⁵ + l ɛ ³²	pʰ i e u ⁵⁵ + l ɛ ³²	float/漂 _float/𡅏	V P	20 24	265	252	146	漂口+禮	漂 𡅏		漂浮	i m n t + i n t	漂在
93	Fuzhou	float	pʰu⁵³ lɛ³²	pʰu⁵³+lɛ³²	pʰ u ⁵³ + l ɛ ³²	pʰ u ⁵³ + l ɛ ³²	float/浮 _float/𡅏	V P	21 24	264	253	146	浮口+禮	浮 𡅏		漂浮	i n t + i n t	浮在
