ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
2616	Ha_erbin	sing	tʂʰaŋ⁵³	ʈʂʰaŋ⁵³	ʈʂʰ a ŋ ⁵³	ʈʂʰ a ŋ ⁵³	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2617	Jinan	sing	tʂʰɑŋ³¹	ʈʂʰɑŋ³¹	ʈʂʰ ɑ ŋ ³¹	ʈʂʰ ɑ ŋ ³¹	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2618	Rongcheng	sing	tʂʰaŋ³³⁴	ʈʂʰaŋ³³⁴	ʈʂʰ a ŋ ³³⁴	ʈʂʰ a ŋ ³³⁴	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2619	Taiyuan	sing	tsʰɒ̃⁴⁵	tsʰɒ̃⁴⁵	tsʰ ɒ̃ ⁴⁵	tsʰ ɒ̃ ∼ ⁴⁵	sing/唱	V	539	783	687	372	唱	唱		唱	i n t	
2620	Xi_an	sing	tʂʰɑŋ⁴⁴	ʈʂʰɑŋ⁴⁴	ʈʂʰ ɑ ŋ ⁴⁴	ʈʂʰ ɑ ŋ ⁴⁴	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2621	Chengdu	sing	tsʰaŋ²¹³	tsʰaŋ²¹³	tsʰ a ŋ ²¹³	tsʰ a ŋ ²¹³	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2622	Nanjing	sing	tsʰɑ̃⁴⁴	tsʰɑ̃⁴⁴	tsʰ ɑ̃ ⁴⁴	tsʰ ɑ̃ ∼ ⁴⁴	sing/唱	V	539	783	687	372	唱	唱		唱	i n t	
2623	Jixi	sing	tɕʰiõ³⁵	tɕʰjõ³⁵	tɕʰ j õ ³⁵	tɕʰ i õ ∼ ³⁵	sing/唱	V	539	783	687	372	唱	唱		唱	i m n t	
2624	Suzhou	sing	tsʰɑ̃⁴¹²	tsʰɑ̃⁴¹²	tsʰ ɑ̃ ⁴¹²	tsʰ ɑ̃ ∼ ⁴¹²	sing/唱	V	539	783	687	372	唱	唱		唱	i n t	
2625	Wenzhou	sing	tɕʰi⁵¹	tɕʰi⁵¹	tɕʰ i ⁵¹	tɕʰ i ⁵¹	sing/唱	V	539	783	687	372	唱	唱		唱	i n t	
2626	Changsha	sing	tsʰan⁵⁵	tsʰan⁵⁵	tsʰ a n ⁵⁵	tsʰ a n ⁵⁵	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2627	Loudi	sing	tʰɔŋ³⁵	tʰɔŋ³⁵	tʰ ɔ ŋ ³⁵	tʰ ɔ ŋ ³⁵	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2628	Nanchang	sing	tsʰɔŋ²¹³	tsʰɔŋ²¹³	tsʰ ɔ ŋ ²¹³	tsʰ ɔ ŋ ²¹³	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2629	Meixian	sing	tsʰoŋ⁵³	tsʰoŋ⁵³	tsʰ o ŋ ⁵³	tsʰ o ŋ ⁵³	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2630	Guilin	sing	tsʰɑŋ²⁵	tsʰɑŋ²⁵	tsʰ ɑ ŋ ²⁵	tsʰ ɑ ŋ ²⁵	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2631	Guangzhou	sing	tsʰœŋ³³	tsʰœŋ³³	tsʰ œ ŋ ³³	tsʰ œ ŋ ³³	sing/唱	V	539	783	687	372	唱	唱		唱	i n c t	
2632	Fuzhou	sing	tsʰuoŋ²¹²	tsʰwoŋ²¹²	tsʰ w o ŋ ²¹²	tsʰ u o ŋ ²¹²	sing/唱	V	539	783	687	372	唱	唱		唱	i m n c t	
2633	Xiamen	sing	tsʰiũ²¹	tsʰjũ²¹	tsʰ j ũ ²¹	tsʰ i ũ ∼ ²¹	sing/唱	V	539	783	687	372	唱	唱		唱	i m n t	
2634	Beijing	dust	tʂʰən³⁵ tʰu²¹⁴	ʈʂʰən³⁵+tʰu²¹⁴	ʈʂʰ ə n ³⁵ + tʰ u ²¹⁴	ʈʂʰ ə n ³⁵ + tʰ u ²¹⁴	dust/塵 soil/土	N N	540 264	178	164	106	塵土	塵 土		塵土	i n c t + i n t	
2635	Ha_erbin	dust	tʂʰən²⁴ tʰu²¹³	ʈʂʰən²⁴+tʰu²¹³	ʈʂʰ ə n ²⁴ + tʰ u ²¹³	ʈʂʰ ə n ²⁴ + tʰ u ²¹³	dust/塵 soil/土	N N	540 264	178	164	106	塵土	塵 土		塵土	i n c t + i n t	
2636	Jinan	dust	tʰu⁴⁵⁻²¹⁴ la⁰	tʰu⁴⁵+la⁰	tʰ u ⁴⁵ + l a ⁰	tʰ u ²¹⁴/⁴⁵ + l a ⁰	soil/土 _-:suffix/la	N S	264 541	180	165	106	土垃	土 垃		塵土	i n t + i n t	
2637	Rongcheng	dust	xuei⁵²	xwei⁵²	x w ei ⁵²	x u e i ⁵²	ash/灰	N	542	179	15	106	灰	灰		塵土	i m n t	
2638	Taiyuan	dust	tsʰəŋ²¹ tʰu⁵³	tsʰəŋ²¹+tʰu⁵³	tsʰ ə ŋ ²¹ + tʰ u ⁵³	tsʰ ə ŋ ²¹ + tʰ u ⁵³	dust/塵 soil/土	N N	540 264	178	164	106	塵土	塵 土		塵土	i n c t + i n t	
2639	Taiyuan	dust	xuei²¹ tsʰəŋ²¹	xwei²¹+tsʰəŋ²¹	x w ei ²¹ + tsʰ ə ŋ ²¹	x u e i ²¹ + tsʰ ə ŋ ²¹	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i m n t + i n c t	
2640	Xi_an	dust	tʂʰẽ²⁴	ʈʂʰẽ²⁴	ʈʂʰ ẽ ²⁴	ʈʂʰ ẽ ∼ ²⁴	dust/塵	N	540	178	167	106	塵	塵		塵土	i n t	
2641	Xi_an	dust	tʂʰẽ²⁴ tʰou⁵³	ʈʂʰẽ²⁴+tʰou⁵³	ʈʂʰ ẽ ²⁴ + tʰ ou ⁵³	ʈʂʰ ẽ ∼ ²⁴ + tʰ o u ⁵³	dust/塵 soil/土	N N	540 264	178	164	106	塵土	塵 土		塵土	i n t + i n t	
2642	Xi_an	dust	xuei²¹ tʂʰẽ²⁴	xwei²¹+ʈʂʰẽ²⁴	x w ei ²¹ + ʈʂʰ ẽ ²⁴	x u e i ²¹ + ʈʂʰ ẽ ∼ ²⁴	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i m n t + i n t	
2643	Chengdu	dust	tsa⁴⁵ tsa⁵⁵	tsa⁴⁵+tsa⁵⁵	ts a ⁴⁵ + ts a ⁵⁵	ts a ⁴⁵ + ts a ⁵⁵	dirt/渣 _dirt:RED/渣	N N2	433 783	181	168	107	渣渣	渣 渣		塵土	i n t + i n t	
2644	Chengdu	dust	tsa⁴⁵ tsɿ⁵³⁻²¹	tsa⁴⁵+tsɿ⁵³	ts a ⁴⁵ + ts ɿ ⁵³	ts a ⁴⁵ + ts ɿ ²¹/⁵³	dirt/渣 _-child:SUF/子	N S	433 19	181	169	107	渣子	渣 子		塵土	i n t + i n t	
2645	Nanjing	dust	xuei³¹	xwei³¹	x w ei ³¹	x u e i ³¹	ash/灰	N	542	179	15	106	灰	灰		塵土	i m n t	
2646	Nanjing	dust	xuei³¹ tsʰən¹³	xwei³¹+tsʰən¹³	x w ei ³¹ + tsʰ ə n ¹³	x u e i ³¹ + tsʰ ə n ¹³	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i m n t + i n c t	
2647	Jixi	dust	fa⁵⁵ tɕʰiɑ̃⁴⁴	fa⁵⁵+tɕʰjɑ̃⁴⁴	f a ⁵⁵ + tɕʰ j ɑ̃ ⁴⁴	f a ⁵⁵ + tɕʰ i ɑ̃ ∼ ⁴⁴	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i n t + i m n t	
2648	Jixi	dust	tɕʰiɑ̃⁴⁴⁻³⁵ tʰu²¹³	tɕʰjɑ̃⁴⁴+tʰu²¹³	tɕʰ j ɑ̃ ⁴⁴ + tʰ u ²¹³	tɕʰ i ɑ̃ ∼ ³⁵/⁴⁴ + tʰ u ²¹³	dust/塵 soil/土	N N	540 264	178	164	106	塵土	塵 土		塵土	i m n t + i n t	
2649	Suzhou	dust	huᴇ⁴⁴ zən¹³⁻²¹	hwe̞⁴⁴+zən¹³	h w e̞ ⁴⁴ + z ə n ¹³	h u e̞ ⁴⁴ + z ə n ²¹/¹³	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i m n t + i n c t	
2650	Wenzhou	dust	baŋ³⁴¹⁻³¹ dzaŋ³⁴¹⁻²¹	baŋ³⁴¹+dzaŋ³⁴¹	b a ŋ ³⁴¹ + dz a ŋ ³⁴¹	b a ŋ ³¹/³⁴¹ + dz a ŋ ²¹/³⁴¹	dust/坌 dust/塵	N N	543 540	178	170	106	坌塵	坌 塵		塵土	i n c t + i n c t	
2651	Changsha	dust	fei³³ tsən¹³	fei³³+tsən¹³	f ei ³³ + ts ə n ¹³	f e i ³³ + ts ə n ¹³	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i n t + i n c t	
2652	Loudi	dust	xue⁴⁴	xwe⁴⁴	x w e ⁴⁴	x u e ⁴⁴	ash/灰	N	542	179	15	106	灰	灰		塵土	i m n t	
2653	Nanchang	dust	tsʰɛn²⁴ tʰu²¹³	tsʰɛn²⁴+tʰu²¹³	tsʰ ɛ n ²⁴ + tʰ u ²¹³	tsʰ ɛ n ²⁴ + tʰ u ²¹³	dust/塵 soil/土	N N	540 264	178	164	106	塵土	塵 土		塵土	i n c t + i n t	
2654	Nanchang	dust	fɨi⁴² tsʰɛn⁰	fɨi⁴²+tsʰɛn⁰	f ɨi ⁴² + tsʰ ɛ n ⁰	f ɨ i ⁴² + tsʰ ɛ n ⁰	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i n t + i n c t	
2655	Meixian	dust	tsʰən¹¹	tsʰən¹¹	tsʰ ə n ¹¹	tsʰ ə n ¹¹	dust/塵	N	540	178	167	106	塵	塵		塵土	i n c t	
2656	Guilin	dust	fei⁴² tsɤn²²	fei⁴²+tsɤn²²	f ei ⁴² + ts ɤ n ²²	f e i ⁴² + ts ɤ n ²²	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i n t + i n c t	!f ei ⁴² + ts ɤ ŋ ²²
2657	Guangzhou	dust	fui⁵³ tsʰɐn²¹	fwi⁵³+tsʰɐn²¹	f w i ⁵³ + tsʰ ɐ n ²¹	f u i ⁵³ + tsʰ ɐ n ²¹	ash/灰 dust/塵	N N	542 540	178	166	106	灰塵	灰 塵		塵土	i m n t + i n c t	
2658	Fuzhou	dust	uŋ⁵⁵ niŋ⁵³	uŋ⁵⁵+niŋ⁵³	u ŋ ⁵⁵ + n i ŋ ⁵³	u ŋ ⁵⁵ + n i ŋ ⁵³	dust/滃 dust/塵	N N	544 540	178	171	106	滃塵	滃 塵		塵土	n c t + i n c t	
2659	Xiamen	dust	tʰɔ²⁴⁻²² hun⁵³	tʰɔ²⁴+hun⁵³	tʰ ɔ ²⁴ + h u n ⁵³	tʰ ɔ ²²/²⁴ + h u n ⁵³	road/塗 powder/粉	N N	545 546	185	172	108	塗粉	塗 粉		塵土	i n t + i n c t	
2660	Beijing	eat	tʂʰʅ⁵⁵	ʈʂʰʅ⁵⁵	ʈʂʰ ʅ ⁵⁵	ʈʂʰ ʅ ⁵⁵	eat/吃	V	547	196	182	111	吃	吃		吃	i n t	
2661	Ha_erbin	eat	tʂʰʅ⁴⁴	ʈʂʰʅ⁴⁴	ʈʂʰ ʅ ⁴⁴	ʈʂʰ ʅ ⁴⁴	eat/吃	V	547	196	182	111	吃	吃		吃	i n t	
2662	Jinan	eat	tʂʰʅ²¹⁴	ʈʂʰʅ²¹⁴	ʈʂʰ ʅ ²¹⁴	ʈʂʰ ʅ ²¹⁴	eat/吃	V	547	196	182	111	吃	吃		吃	i n t	
2663	Rongcheng	eat	tai²¹⁴	tai²¹⁴	t ai ²¹⁴	t a i ²¹⁴	eat/歹	V	548	199	183	114	歹	歹		吃	i n t	
2664	Taiyuan	eat	tsʰəʔ²	tsʰəʔ²	tsʰ ə ʔ ²	tsʰ ə ʔ ²	eat/吃	V	547	196	182	111	吃	吃		吃	i n c t	
2665	Xi_an	eat	tʂʰʅ²¹	ʈʂʰʅ²¹	ʈʂʰ ʅ ²¹	ʈʂʰ ʅ ²¹	eat/吃	V	547	196	182	111	吃	吃		吃	i n t	
2666	Chengdu	eat	tsʰɿ²¹	tsʰɿ²¹	tsʰ ɿ ²¹	tsʰ ɿ ²¹	eat/吃	V	547	196	182	111	吃	吃		吃	i n t	
2667	Nanjing	eat	tʂʰʅʔ⁵	ʈʂʰʅʔ⁵	ʈʂʰ ʅ ʔ ⁵	ʈʂʰ ʅ ʔ ⁵	eat/吃	V	547	196	182	111	吃	吃		吃	i n c t	
2668	Jixi	eat	tɕʰieʔ³²*	tɕʰjeʔ³²	tɕʰ j e ʔ ³²	tɕʰ i e ʔ ³²*/³²	eat/吃	V	547	196	182	111	吃	吃		吃	i m n c t	
2669	Suzhou	eat	tɕʰiəʔ⁴	tɕʰjəʔ⁴	tɕʰ j ə ʔ ⁴	tɕʰ i ə ʔ ⁴	consume/喫	V	549	197	149	112	喫	喫		吃	i m n c t	
2670	Wenzhou	eat	tsʰɿ⁴¹	tsʰɿ⁴¹	tsʰ ɿ ⁴¹	tsʰ ɿ ⁴¹	eat/吃	V	547	196	182	111	吃	吃		吃	i n t	
2671	Changsha	eat	tɕʰia²⁴	tɕʰja²⁴	tɕʰ j a ²⁴	tɕʰ i a ²⁴	consume/喫	V	549	197	149	112	喫	喫		吃	i m n t	
2672	Loudi	eat	tɕʰiɔ¹³	tɕʰjɔ¹³	tɕʰ j ɔ ¹³	tɕʰ i ɔ ¹³	consume/喫	V	549	197	149	112	喫	喫		吃	i m n t	
2673	Nanchang	eat	tɕʰiaʔ⁵	tɕʰjaʔ⁵	tɕʰ j a ʔ ⁵	tɕʰ i a ʔ ⁵	consume/喫	V	549	197	149	112	喫	喫		吃	i m n c t	
2674	Meixian	eat	sət⁵	sət⁵	s ə t ⁵	s ə t ⁵	eat/食	V	550	198	151	113	食	食		吃	i n c t	
2675	Guilin	eat	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰ i ⁵⁵	tɕʰ i ⁵⁵	eat/吃	V	547	196	182	111	吃	吃		吃	i n t	
2676	Guangzhou	eat	sek²	sek²	s e k ²	s e k ²	eat/食	V	550	198	151	113	食	食		吃	i n c t	
2677	Fuzhou	eat	sieʔ⁵	sjeʔ⁵	s j e ʔ ⁵	s i e ʔ ⁵	eat/食	V	550	198	151	113	食	食		吃	i m n c t	
2678	Xiamen	eat	tsiaʔ⁵	tsjaʔ⁵	ts j a ʔ ⁵	ts i a ʔ ⁵	eat/食	V	550	198	151	113	食	食		吃	i m n c t	
2679	Beijing	wing	tʂʰʅ⁵¹⁻⁵³ pɑr²¹⁴	ʈʂʰʅ⁵¹+pɑ²¹⁴	ʈʂʰ ʅ ⁵¹ + p ɑ ²¹⁴	ʈʂʰ ʅ ⁵³/⁵¹ + p ɑ˞/ɑ ²¹⁴	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀兒	翅 膀		翅膀	i n t + i n t	翅膀儿 ʈʂʰʅ⁵¹+pɑ̃r²¹⁴ but the r does not count as a morpheme.
2680	Ha_erbin	wing	sɿ⁵³ paŋ²¹³	sɿ⁵³+paŋ²¹³	s ɿ ⁵³ + p a ŋ ²¹³	s ɿ ⁵³ + p a ŋ ²¹³	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n c t	
2681	Jinan	wing	tʂʰʅ²¹⁻⁴⁴ tsɿ⁰	ʈʂʰʅ²¹+tsɿ⁰	ʈʂʰ ʅ ²¹ + ts ɿ ⁰	ʈʂʰ ʅ ⁴⁴/²¹ + ts ɿ ⁰	wing/翅 _-child:SUF/子	N S	551 19	1121	959	529	翅子	翅 子		翅膀	i n t + i n t	
2682	Rongcheng	wing	tʂʰɿ³³⁴ pə⁰	ʈʂʰɿ³³⁴+pə⁰	ʈʂʰ ɿ ³³⁴ + p ə ⁰	ʈʂʰ ɿ ³³⁴ + p ə ⁰	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n t	
2683	Taiyuan	wing	tsʰɿ⁴⁵ pɒ̃⁵³	tsʰɿ⁴⁵+pɒ̃⁵³	tsʰ ɿ ⁴⁵ + p ɒ̃ ⁵³	tsʰ ɿ ⁴⁵ + p ɒ̃ ∼ ⁵³	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n t	
2684	Xi_an	wing	tʰɿ⁴⁴	tʰɿ⁴⁴	tʰ/tsʰ ɿ ⁴⁴	tʰ ɿ ⁴⁴	wing/翅	N	551	1121	960	529	翅	翅		翅膀	i n t	
2685	Xi_an	wing	tsʰɿ⁴⁴ pɑŋ⁰	tsʰɿ⁴⁴+pɑŋ⁰	tsʰ ɿ ⁴⁴ + p ɑ ŋ ⁰	tsʰ ɿ ⁴⁴ + p ɑ ŋ ⁰	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n c t	
2686	Chengdu	wing	tsɿ²¹³ paŋ⁵³	tsɿ²¹³+paŋ⁵³	ts ɿ ²¹³ + p a ŋ ⁵³	ts ɿ ²¹³ + p a ŋ ⁵³	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n c t	
2687	Nanjing	wing	tʂʰʅ⁴⁴ pɑ⁰	ʈʂʰʅ⁴⁴+pɑ⁰	ʈʂʰ ʅ ⁴⁴ + p ɑ ⁰	ʈʂʰ ʅ ⁴⁴ + p ɑ ⁰	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n t	
2688	Jixi	wing	iɑʔ³²* sɵ⁵⁵	jɑʔ³²+sɵ⁵⁵	j ɑ ʔ ³² + s ɵ ⁵⁵	i ɑ ʔ ³²*/³² + s ɵ ⁵⁵	wing/翼 _crawl/梭	N N	404 151	1123	961	529	翼梭	翼 梭		翅膀	i n c t + i n t	
2689	Jixi	wing	tsʰɿ³⁵⁻⁵³ põ²¹³	tsʰɿ³⁵+põ²¹³	tsʰ ɿ ³⁵ + p õ ²¹³	tsʰ ɿ ⁵³/³⁵ + p õ ∼ ²¹³	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n t	
2690	Suzhou	wing	tɕi⁴⁴ kaʔ⁴⁻²	tɕi⁴⁴+kaʔ⁴	tɕ i ⁴⁴ + k a ʔ ⁴	tɕ i ⁴⁴ + k a ʔ ²/⁴	wing/翅 _wing/𦑜	N N	551 552	1121	962	529	翅革+羽	翅 𦑜		翅膀	i n t + i n c t	
2691	Wenzhou	wing	jiai²¹⁻² pʰuɔ²⁴²	jjai²¹+pʰwɔ²⁴²	j ai ²¹ + pʰ w ɔ ²⁴²	j i a i ²/²¹ + pʰ u ɔ ²⁴²	wing/翼 wing/膀	N N	404 276	1122	963	529	翼膀	翼 膀		翅膀	i n t + i m n t	!髈
2692	Changsha	wing	tsʰɿ⁵⁵ pan¹³	tsʰɿ⁵⁵+pan¹³	tsʰ ɿ ⁵⁵ + p a n ¹³	tsʰ ɿ ⁵⁵ + p a n ¹³	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n c t	
2693	Changsha	wing	i⁵⁵ ka¹³ tsɿ⁰	i⁵⁵+ka¹³+tsɿ⁰	i ⁵⁵ + k a ¹³ + ts ɿ ⁰	i ⁵⁵ + k a ¹³ + ts ɿ ⁰	wing/翼 _shoulder.blade/胛 _-child:SUF/子	N N S	404 76 19	1123	964	529	翼胛子	翼 胛 子		翅膀	n t + i n t + i n t	
2694	Loudi	wing	ie³⁵ ka³⁵⁻⁵	je³⁵+ka³⁵	j e ³⁵ + k a ³⁵	i e ³⁵ + k a ⁵/³⁵	wing/翼 _shoulder.blade/胛	N N	404 76	1123	965	529	翼胛	翼 胛		翅膀	i n t + i n t	
2695	Nanchang	wing	tsʰɿ²¹³ paŋ⁰	tsʰɿ²¹³+paŋ⁰	tsʰ ɿ ²¹³ + p a ŋ ⁰	tsʰ ɿ ²¹³ + p a ŋ ⁰	wing/翅 wing/膀	N N	551 276	1121	958	529	翅膀	翅 膀		翅膀	i n t + i n c t	
2696	Nanchang	wing	tsʰɿ²¹³ kuaŋ⁰	tsʰɿ²¹³+kwaŋ⁰	tsʰ ɿ ²¹³ + k w a ŋ ⁰	tsʰ ɿ ²¹³ + k u a ŋ ⁰	wing/翅 ray/光	N N	551 413	1121	966	529	翅光	翅 光		翅膀	i n t + i m n c t	
2697	Nanchang	wing	iɛt²¹* kuaŋ⁰	jɛt²¹+kwaŋ⁰	j ɛ t ²¹ + k w a ŋ ⁰	i ɛ t ²¹*/²¹ + k u a ŋ ⁰	wing/翼 _ray/光	N N	404 413	1127	967	529	葉光	葉 光		翅膀	m n c t + i m n c t	
2698	Meixian	wing	it⁵ kap¹	it⁵+kap¹	i t ⁵ + k a p ¹	i t ⁵ + k a p ¹	wing/翼 _shoulder.blade/胛	N N	404 76	1123	965	529	翼胛	翼 胛		翅膀	n c t + i n c t	
2699	Guilin	wing	tɕi²⁵ kuã²² tse²³⁻³³	tɕi²⁵+kwã²²+tse²³	tɕ i ²⁵ + k w ã ²² + ts e ²³	tɕ i ²⁵ + k u ã ∼ ²² + ts e ³³/²³	wing/? ray/光 _-child:SUF/子	N N S	769 413 19	1124	968	529	囗囗子	囗 囗 子		翅膀	i n t + i m n t + i n t	
2700	Guangzhou	wing	tsʰi³³	tsʰi³³	tsʰ i ³³	tsʰ i ³³	wing/翅	N	551	1121	960	529	翅	翅		翅膀	i n t	
2701	Fuzhou	wing	siʔ⁵	siʔ⁵	s i ʔ ⁵	s i ʔ ⁵	wing/翅	N	551	1121	960	529	翅	翅		翅膀	i n c t	
2702	Xiamen	wing	sit⁵⁻³²* la⁵³	sit⁵+la⁵³	s i t ⁵ + l a ⁵³	s i t ³²*/⁵ + l a ⁵³	wing/翅 _SUF/仔	N S	551 797	1121	969	529	翅仔	翅 仔		翅膀	i n c t + i n t	
2703	Beijing	worm	tʂʰuŋ³⁵	ʈʂʰuŋ³⁵	ʈʂʰ u ŋ ³⁵	ʈʂʰ u ŋ ³⁵	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2704	Ha_erbin	worm	tʂuŋ²¹	ʈʂuŋ²¹	ʈʂ u ŋ ²¹	ʈʂ u ŋ ²¹	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2705	Jinan	worm	tʂʰuŋ⁵³	ʈʂʰuŋ⁵³	ʈʂʰ u ŋ ⁵³	ʈʂʰ u ŋ ⁵³	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2706	Rongcheng	worm	tʂoŋ³⁵	ʈʂoŋ³⁵	ʈʂ o ŋ ³⁵	ʈʂ o ŋ ³⁵	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2707	Taiyuan	worm	tsʰuŋ²¹	tsʰuŋ²¹	tsʰ u ŋ ²¹	tsʰ u ŋ ²¹	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2708	Xi_an	worm	pfʰəŋ²⁴	pfʰəŋ²⁴	pfʰ ə ŋ ²⁴	pfʰ ə ŋ ²⁴	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2709	Chengdu	worm	tsʰoŋ²¹	tsʰoŋ²¹	tsʰ o ŋ ²¹	tsʰ o ŋ ²¹	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2710	Nanjing	worm	tsʰoŋ¹³	tsʰoŋ¹³	tsʰ o ŋ ¹³	tsʰ o ŋ ¹³	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2711	Jixi	worm	tsʰɑ̃⁴⁴	tsʰɑ̃⁴⁴	tsʰ ɑ̃ ⁴⁴	tsʰ ɑ̃ ∼ ⁴⁴	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n t	
2712	Suzhou	worm	zoŋ¹³	zoŋ¹³	z o ŋ ¹³	z o ŋ ¹³	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2713	Wenzhou	worm	dʑyoŋ³⁴¹	dʑɥoŋ³⁴¹	dʑ ɥ o ŋ ³⁴¹	dʑ y o ŋ ³⁴¹	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i m n c t	
2714	Changsha	worm	tsən¹³	tsən¹³	ts ə n ¹³	ts ə n ¹³	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2715	Loudi	worm	dʑiɤŋ¹³	dʑjɤŋ¹³	dʑ j ɤ ŋ ¹³	dʑ i ɤ ŋ ¹³	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i m n c t	
2716	Nanchang	worm	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰ u ŋ ²⁴	tsʰ u ŋ ²⁴	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2717	Meixian	worm	tsʰuŋ¹¹	tsʰuŋ¹¹	tsʰ u ŋ ¹¹	tsʰ u ŋ ¹¹	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2718	Guilin	worm	tsuɤŋ²²	tswɤŋ²²	ts w ɤ ŋ ²²	ts u ɤ ŋ ²²	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i m n c t	
2719	Guangzhou	worm	tsʰoŋ²¹	tsʰoŋ²¹	tsʰ o ŋ ²¹	tsʰ o ŋ ²¹	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2720	Fuzhou	worm	tʰøyŋ⁵³	tʰøyŋ⁵³	tʰ øy ŋ ⁵³	tʰ ø y ŋ ⁵³	worm/蟲	N	159	1153	984	533	蟲	蟲		蟲	i n c t	
2721	Xiamen	worm	tʰaŋ²⁴⁻²² hia²²	tʰaŋ²⁴+hja²²	tʰ a ŋ ²⁴ + h j a ²²	tʰ a ŋ ²²/²⁴ + h i a ²²	worm/蟲 _worm	N N	159 554	1153	985	533	蟲蟻	蟲 蟻		蟲	i n c t + i m n t	
2722	Beijing	blow	tʂʰuei⁵⁵	ʈʂʰwei⁵⁵	ʈʂʰ w ei ⁵⁵	ʈʂʰ u e i ⁵⁵	blow/吹	V	555	56	52	34	吹	吹		吹	i m n t	
2723	Ha_erbin	blow	tsʰuei⁴⁴	tsʰwei⁴⁴	tsʰ w ei ⁴⁴	tsʰ u e i ⁴⁴	blow/吹	V	555	56	52	34	吹	吹		吹	i m n t	
2724	Jinan	blow	tʂʰuei²¹⁴	ʈʂʰwei²¹⁴	ʈʂʰ w ei ²¹⁴	ʈʂʰ u e i ²¹⁴	blow/吹	V	555	56	52	34	吹	吹		吹	i m n t	
2725	Rongcheng	blow	tʂʰuei⁵²	ʈʂʰwei⁵²	ʈʂʰ w ei ⁵²	ʈʂʰ u e i ⁵²	blow/吹	V	555	56	52	34	吹	吹		吹	i m n t	
