# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
2872	Rongcheng	fall	t j au ³³⁴	fall/掉	V	581	212	182	107	掉	掉		掉	i m n t		1 6 7 8	ACXT	TJA6	14	14.T.C 14.J.C 14.A.V 14.6.T	1.6 1.2 3.0 1.0	tjau³³⁴	0
2873	Taiyuan	fall	t j au ⁴⁵	fall/掉	V	581	212	182	107	掉	掉		掉	i m n t		1 6 7 8	ACXT	TJA2	16	16.T.C 16.J.C 16.A.V 16.2.T	1.6 1.2 3.0 1.0	tjau⁴⁵	0
2874	Taiyuan	fall	t j ə ʔ ²	slip/跌	V	582	214	183	113	跌	跌		掉	i m n c t		1 6 7 1 8	ACXLT	TJEH6	16	16.T.C 16.J.C 16.E.V 16.H.c 16.6.T	1.6 1.2 3.0 1.1 1.0	tjəʔ²	0
2875	Taiyuan	fall	l a ʔ ²	descend/落	V	583	213	184	109	落	落		掉	i n c t		5 7 1 8	AXLT	LAH6	16	16.L.C 16.A.V 16.H.c 16.6.T	1.6 3.0 1.1 1.0	laʔ²	0
2876	Xi_an	fall	t j ɑu ⁴⁴	fall/掉	V	581	212	182	107	掉	掉		掉	i m n t		1 6 7 8	ACXT	TJA5	18	18.T.C 18.J.C 18.A.V 18.5.T	1.6 1.2 3.0 1.0	tjɑu⁴⁴	0
2877	Xi_an	fall	l w o ²¹	descend/落	V	583	213	184	109	落	落		掉	i m n t		5 6 7 8	ACXT	LWU3	18	18.L.C 18.W.C 18.U.V 18.3.T	1.6 1.2 3.0 1.0	lwo²¹	0
2878	Chengdu	fall	t j au ²¹³	fall/掉	V	581	212	182	107	掉	掉		掉	i m n t		1 6 7 8	ACXT	TJA6	3	3.T.C 3.J.C 3.A.V 3.6.T	1.6 1.2 3.0 1.0	tjau²¹³	0
2879	Chengdu	fall	l o ²¹	descend/落	V	583	213	184	109	落	落		掉	i n t		5 7 8	AXT	LU3	3	3.L.C 3.U.V 3.3.T	1.6 3.0 1.0	lo²¹	0
2880	Nanjing	fall	t j ɔ ⁴⁴	fall/掉	V	581	212	182	107	掉	掉		掉	i m n t		1 6 7 8	ACXT	TJU5	13	13.T.C 13.J.C 13.U.V 13.5.T	1.6 1.2 3.0 1.0	tjɔ⁴⁴	0
2881	Jixi	fall	n o ʔ ³²	descend/落	V	583	213	184	109	落	落		掉	i n c t		4 7 1 8	AXLT	NUH3	9	9.N.C 9.U.V 9.H.c 9.3.T	1.6 3.0 1.1 1.0	noʔ³²	0
2882	Jixi	fall	t j a ʔ ³²	slip/跌	V	582	214	183	113	跌	跌		掉	i m n c t		1 6 7 1 8	ACXLT	TJAH3	9	9.T.C 9.J.C 9.A.V 9.H.c 9.3.T	1.6 1.2 3.0 1.1 1.0	tjaʔ³²	0
2883	Suzhou	fall	d ə ʔ ²³	fall/特	V	584	217	185	111	特～	特		掉	i n c t		1 7 1 8	AXLT	TEH2	15	15.T.C 15.E.V 15.H.c 15.2.T	1.6 3.0 1.1 1.0	dəʔ²³	0
2884	Wenzhou	fall	d a ŋ ²²	fall/遁	V	585	218	186	112	遁	遁		掉	i n c t		1 7 4 8	AXLT	TAN1	17	17.T.C 17.A.V 17.N.c 17.1.T	1.6 3.0 1.1 1.0	daŋ²²	0
2885	Changsha	fall	t j au ¹¹	fall/掉	V	581	212	182	107	掉	掉		掉	i m n t		1 6 7 8	ACXT	TJA1	2	2.T.C 2.J.C 2.A.V 2.1.T	1.6 1.2 3.0 1.0	tjau¹¹	0
2886	Loudi	fall	s w a ¹³	fall/刷	V	586	216	187	110	刷	刷		掉	i m n t		3 6 7 8	ACXT	SWA2	10	10.S.C 10.W.C 10.A.V 10.2.T	1.6 1.2 3.0 1.0	swa¹³	0
2887	Nanchang	fall	t j ɛ t ⁵	fall/掉	V	581	212	182	107	掉	掉		掉	i m n c t		1 6 7 1 8	ACXLT	TJET6	12	12.T.C 12.J.C 12.E.V 12.T.c 12.6.T	1.6 1.2 3.0 1.1 1.0	tjɛt⁵	0
2888	Meixian	fall	l o k ⁵	descend/落	V	583	213	184	109	落	落		掉	i n c t		5 7 1 8	AXLT	LUK6	11	11.L.C 11.U.V 11.K.c 11.6.T	1.6 3.0 1.1 1.0	lok⁵	0
2889	Guilin	fall	t j ɑu ²⁵	fall/掉	V	581	212	182	107	掉	掉		掉	i m n t		1 6 7 8	ACXT	TJA2	6	6.T.C 6.J.C 6.A.V 6.2.T	1.6 1.2 3.0 1.0	tjɑu²⁵	0
2890	Guangzhou	fall	l ɔ k ²	descend/落	V	583	213	184	109	落	落		掉	i n c t		5 7 1 8	AXLT	LUK6	5	5.L.C 5.U.V 5.K.c 5.6.T	1.6 3.0 1.1 1.0	lɔk²	0
2891	Fuzhou	fall	t ɔu ŋ ²⁴²	fall/逿	V	587	215	188	108	逿	逿		掉	i n c t		1 7 4 8	AXLT	TUN6	4	4.T.C 4.U.V 4.N.c 4.6.T	1.6 3.0 1.1 1.0	tɔuŋ²⁴²	0
2892	Xiamen	fall	l a k ³²	descend/落	V	583	213	184	109	落	落		掉	i n c t		5 7 1 8	AXLT	LAK3	19	19.L.C 19.A.V 19.K.c 19.3.T	1.6 3.0 1.1 1.0	lak³²	0
#
2073	Beijing	far	ɥ ɛ n ²¹³	far/远	A	409	219	189	114	远	远		遠	i n c t		6 7 4 8	AXLT	JEN6	1	1.J.C 1.E.V 1.N.c 1.6.T	1.6 3.0 1.1 1.0	ɥɛn²¹³	0
2074	Ha_erbin	far	ɥ a n ²¹³	far/远	A	409	219	189	114	远	远		遠	i n c t		6 7 4 8	AXLT	JAN6	7	7.J.C 7.A.V 7.N.c 7.6.T	1.6 3.0 1.1 1.0	ɥan²¹³	0
2075	Jinan	far	ɥ æ̃ ⁴⁵	far/远	A	409	219	189	114	远	远		遠	i n t		6 7 8	AXT	JE2	8	8.J.C 8.E.V 8.2.T	1.6 3.0 1.0	ɥæ̃⁴⁵	0
2076	Rongcheng	far	ɥ ɐ n ²¹⁴	far/远	A	409	219	189	114	远	远		遠	i n c t		6 7 4 8	AXLT	JEN6	14	14.J.C 14.E.V 14.N.c 14.6.T	1.6 3.0 1.1 1.0	ɥɐn²¹⁴	0
2077	Taiyuan	far	ɥ e ⁵³	far/远	A	409	219	189	114	远	远		遠	i n t		6 7 8	AXT	JE3	16	16.J.C 16.E.V 16.3.T	1.6 3.0 1.0	ɥe⁵³	0
2078	Xi_an	far	ɥ æ̃ ⁵³	far/远	A	409	219	189	114	远	远		遠	i n t		6 7 8	AXT	JE3	18	18.J.C 18.E.V 18.3.T	1.6 3.0 1.0	ɥæ̃⁵³	0
2079	Chengdu	far	ɥ a n ⁵³	far/远	A	409	219	189	114	远	远		遠	i n c t		6 7 4 8	AXLT	JAN3	3	3.J.C 3.A.V 3.N.c 3.3.T	1.6 3.0 1.1 1.0	ɥan⁵³	0
2080	Nanjing	far	ɥ e n ¹¹	far/远	A	409	219	189	114	远	远		遠	i n c t		6 7 4 8	AXLT	JEN1	13	13.J.C 13.E.V 13.N.c 13.1.T	1.6 3.0 1.1 1.0	ɥen¹¹	0
2081	Jixi	far	ɥ ẽ ²¹³	far/远	A	409	219	189	114	远	远		遠	i n t		6 7 8	AXT	JE6	9	9.J.C 9.E.V 9.6.T	1.6 3.0 1.0	ɥẽ²¹³	0
2082	Suzhou	far	ɦ j ø ²³¹	far/远	A	409	219	189	114	远	远		遠	i m n t		3 6 7 8	ACXT	HJU6	15	15.H.C 15.J.C 15.U.V 15.6.T	1.6 1.2 3.0 1.0	ɦjø²³¹	0
2083	Wenzhou	far	j u ²⁴	far/远	A	409	219	189	114	远	远		遠	i n t		6 7 8	AXT	JY2	17	17.J.C 17.Y.V 17.2.T	1.6 3.0 1.0	ju²⁴	0
2084	Changsha	far	ɥ ẽ ⁴¹	far/远	A	409	219	189	114	远	远		遠	i n t		6 7 8	AXT	JE3	2	2.J.C 2.E.V 2.3.T	1.6 3.0 1.0	ɥẽ⁴¹	0
2085	Loudi	far	w ĩ ⁴²	far/远	A	409	219	189	114	远	远		遠	i n t		6 7 8	AXT	WI3	10	10.W.C 10.I.V 10.3.T	1.6 3.0 1.0	wĩ⁴²	0
2086	Nanchang	far	ɥ o n ²¹³	far/远	A	409	219	189	114	远	远		遠	i n c t		6 7 4 8	AXLT	JUN6	12	12.J.C 12.U.V 12.N.c 12.6.T	1.6 3.0 1.1 1.0	ɥon²¹³	0
2087	Meixian	far	j a n ³¹	far/远	A	409	219	189	114	远	远		遠	i n c t		6 7 4 8	AXLT	JAN3	11	11.J.C 11.A.V 11.N.c 11.3.T	1.6 3.0 1.1 1.0	jan³¹	0
2088	Guilin	far	ɥ ã ²³	far/远	A	409	219	189	114	远	远		遠	i n t		6 7 8	AXT	JA2	6	6.J.C 6.A.V 6.2.T	1.6 3.0 1.0	ɥã²³	0
2089	Guangzhou	far	y n ²³	far/远	A	409	219	189	114	远	远		遠	n c t		7 4 8	XLT	YN2	5	5.Y.V 5.N.c 5.2.T	3.0 1.1 1.0	yn²³	0
2090	Fuzhou	far	h w o ŋ ²⁴²	far/远	A	409	219	189	114	远	远		遠	i m n c t		3 6 7 4 8	ACXLT	HWUN6	4	4.H.C 4.W.C 4.U.V 4.N.c 4.6.T	1.6 1.2 3.0 1.1 1.0	hwoŋ²⁴²	0
2091	Xiamen	far	w a n ⁵³	far/远	A	409	219	189	114	远	远		遠	i n c t		6 7 4 8	AXLT	WAN3	19	19.W.C 19.A.V 19.N.c 19.3.T	1.6 3.0 1.1 1.0	wan⁵³	0
#
3131	Beijing	father	p a̠ ⁵¹ + p a̠ ⁰	father/爸 _father:RED/爸	N N2	470 803	220	190	115	爸爸	爸 爸		父親	i n t + i n t		1 7 8 9 1 7 8	AXT_AXT	PA3_PA6	1	1.P.C 1.A.V 1.3.T 1._._ 1.P.C 1.A.V 1.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pa̠⁵¹+pa̠⁰	0
3132	Beijing	father	f u ⁵¹	father/父	N	610	221	191	116	父	父		父親	i n t		3 7 8	AXT	BY3	1	1.B.C 1.Y.V 1.3.T	1.6 3.0 1.0	fu⁵¹	0
3133	Ha_erbin	father	p a ⁵³	father/爸	N	470	220	192	115	爸	爸		父親	i n t		1 7 8	AXT	PA3	7	7.P.C 7.A.V 7.3.T	1.6 3.0 1.0	pa⁵³	0
3134	Ha_erbin	father	t j ɛ ⁴⁴	father/爹	N	611	222	193	115	爹	爹		父親	i m n t		1 6 7 8	ACXT	TJE5	7	7.T.C 7.J.C 7.E.V 7.5.T	1.6 1.2 3.0 1.0	tjɛ⁴⁴	0
3135	Jinan	father	f u ³¹ + tɕʰ j ẽ ⁰	father/父 _sibling/親	N N	610 612	221	194	116	父親	父 親		父親	i n t + i m n t		3 7 8 9 2 6 7 8	AXT_ACXT	BY3_CJE6	8	8.B.C 8.Y.V 8.3.T 8._._ 8.C.C 8.J.C 8.E.V 8.6.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	fu³¹+tɕʰjẽ⁰	0
3136	Rongcheng	father	t j ɛ ⁵²	father/爹	N	611	222	193	115	爹	爹		父親	i m n t		1 6 7 8	ACXT	TJE3	14	14.T.C 14.J.C 14.E.V 14.3.T	1.6 1.2 3.0 1.0	tjɛ⁵²	0
3137	Taiyuan	father	f u ⁴⁵	father/父	N	610	221	191	116	父	父		父親	i n t		3 7 8	AXT	BY2	16	16.B.C 16.Y.V 16.2.T	1.6 3.0 1.0	fu⁴⁵	0
3138	Taiyuan	father	f u ⁴⁵ + tɕʰ i ŋ ²¹	father/父 _sibling/親	N N	610 612	221	194	116	父親(BC)	父 親	BC	父親	i n t + i n c t		3 7 8 9 2 7 4 8	AXT_AXLT	BY2_CIN3	16	16.B.C 16.Y.V 16.2.T 16._._ 16.C.C 16.I.V 16.N.c 16.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	fu⁴⁵+tɕʰiŋ²¹	0
3139	Taiyuan	father	p a ⁴⁵ + p a ⁰	father/爸 _father:RED/爸	N N2	470 803	220	190	115	爸爸(MC)	爸 爸	MC	父親	i n t + i n t		1 7 8 9 1 7 8	AXT_AXT	PA2_PA6	16	16.P.C 16.A.V 16.2.T 16._._ 16.P.C 16.A.V 16.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pa⁴⁵+pa⁰	0
3140	Taiyuan	father	l au ⁵³ + ts ə ʔ ⁰	old/老 _-child:SUF/子	N S	27 19	225	195	115	老子(BC)	老 子	BC	父親	i n t + i n c t		5 7 8 9 2 7 1 8	AXT_AXLT	LA3_CEH6	16	16.L.C 16.A.V 16.3.T 16._._ 16.C.C 16.E.V 16.H.c 16.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	lau⁵³+tsəʔ⁰	0
3141	Xi_an	father	f u ⁴⁴	father/父	N	610	221	191	116	父	父		父親	i n t		3 7 8	AXT	BY5	18	18.B.C 18.Y.V 18.5.T	1.6 3.0 1.0	fu⁴⁴	0
3142	Xi_an	father	f u ⁴⁴ + tɕʰ i ŋ	father/父 _sibling/親	N N	610 612	221	194	116	父親(BC)	父 親	BC	父親	i n t + i n c		3 7 8 9 2 7 4	AXT_AXN	BY5_CIN	18	18.B.C 18.Y.V 18.5.T 18._._ 18.C.C 18.I.V 18.N.c	1.6 3.0 1.0 0.0 1.6 3.0 0.5	fu⁴⁴+tɕʰiŋ	0
3143	Xi_an	father	p ɑ ⁴⁴	father/爸	N	470	220	192	115	爸	爸		父親	i n t		1 7 8	AXT	PA5	18	18.P.C 18.A.V 18.5.T	1.6 3.0 1.0	pɑ⁴⁴	0
3144	Xi_an	father	t ɑ ²⁴	father/达	N	613	234	196	119	达～(MC)	达	MC	父親	i n t		1 7 8	AXT	TA2	18	18.T.C 18.A.V 18.2.T	1.6 3.0 1.0	tɑ²⁴	0
3145	Chengdu	father	p a ²¹³ + p a ²¹³	father/爸 _father:RED/爸	N N2	470 803	220	190	115	爸爸	爸 爸		父親	i n t + i n t		1 7 8 9 1 7 8	AXT_AXT	PA6_PA6	3	3.P.C 3.A.V 3.6.T 3._._ 3.P.C 3.A.V 3.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pa²¹³+pa²¹³	0
3146	Nanjing	father	t j e ³¹	father/爹	N	611	222	193	115	爹	爹		父親	i m n t		1 6 7 8	ACXT	TJE3	13	13.T.C 13.J.C 13.E.V 13.3.T	1.6 1.2 3.0 1.0	tje³¹	0
3147	Nanjing	father	f u ⁴⁴ + tɕʰ i n ⁴⁴	father/父 _sibling/親	N N	610 612	221	194	116	父親	父 親		父親	i n t + i n c t		3 7 8 9 2 7 4 8	AXT_AXLT	BY5_CIN5	13	13.B.C 13.Y.V 13.5.T 13._._ 13.C.C 13.I.V 13.N.c 13.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	fu⁴⁴+tɕʰin⁴⁴	0
3148	Jixi	father	p a ʔ ³² + p a ʔ ⁰	father/爸 _father:RED/爸	N N2	470 803	220	190	115	爸爸	爸 爸		父親	i n c t + i n c t		1 7 1 8 9 1 7 1 8	AXLT_AXLT	PAH3_PAH6	9	9.P.C 9.A.V 9.H.c 9.3.T 9._._ 9.P.C 9.A.V 9.H.c 9.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	paʔ³²+paʔ⁰	0
3149	Jixi	father	f u ³¹ + tɕʰ j ɑ̃ ⁵⁵	father/父 _sibling/親	N N	610 612	221	194	116	父親	父 親		父親	i n t + i m n t		3 7 8 9 2 6 7 8	AXT_ACXT	BY3_CJA5	9	9.B.C 9.Y.V 9.3.T 9._._ 9.C.C 9.J.C 9.A.V 9.5.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	fu³¹+tɕʰjɑ̃⁵⁵	0
3150	Suzhou	father	t j ɑ ⁴⁴ + t j ɑ ⁴⁴	father/爹 _father:RED/爹	N N2	611 801	222	197	115	爹爹	爹 爹		父親	i m n t + i m n t		1 6 7 8 9 1 6 7 8	ACXT_ACXT	TJA5_TJA5	15	15.T.C 15.J.C 15.A.V 15.5.T 15._._ 15.T.C 15.J.C 15.A.V 15.5.T	1.6 1.2 3.0 1.0 0.0 1.6 1.2 3.0 1.0	tjɑ⁴⁴+tjɑ⁴⁴	0
3151	Suzhou	father	ɦ j ɑ ¹³	father/爺	N	242	223	198	115	爺	爺		父親	i m n t		3 6 7 8	ACXT	HJA2	15	15.H.C 15.J.C 15.A.V 15.2.T	1.6 1.2 3.0 1.0	ɦjɑ¹³	0
3152	Wenzhou	father	a ⁴¹ + p a ⁴⁴	_-sibling:PREF/阿 father/爸	Pref N	614 470	220	199	115	阿爸	阿 爸		父親	n t + i n t		7 8 9 1 7 8	XT_AXT	A3_PA5	17	17.A.V 17.3.T 17._._ 17.P.C 17.A.V 17.5.T	3.0 1.0 0.0 1.6 3.0 1.0	a⁴¹+pa⁴⁴	0
3153	Changsha	father	j a ¹³ + j a ⁰	father/爺 father/爺	N N2	242 802	223	200	115	爺爺	爺 爺		父親	i n t + i n t		6 7 8 9 6 7 8	AXT_AXT	JA2_JA6	2	2.J.C 2.A.V 2.2.T 2._._ 2.J.C 2.A.V 2.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ja¹³+ja⁰	0
3154	Changsha	father	j a ¹³ + l au ⁴¹ + k õ ³³	father/爺 old/老 _father	N N N	242 27 475	223	201	115	爺老倌(BC)	爺 老 倌	BC	父親	i n t + i n t + i n t		6 7 8 9 5 7 8 9 1 7 8	AXT_AXT_AXT	JA2_LA3_KU4	2	2.J.C 2.A.V 2.2.T 2._._ 2.L.C 2.A.V 2.3.T 2._._ 2.K.C 2.U.V 2.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	ja¹³+lau⁴¹+kõ³³	0
3155	Changsha	father	t j e ³³ + t j e ⁰	father/爹 _father:RED/爹	N N2	611 801	222	197	115	爹爹	爹 爹		父親	i m n t + i m n t		1 6 7 8 9 1 6 7 8	ACXT_ACXT	TJE4_TJE6	2	2.T.C 2.J.C 2.E.V 2.4.T 2._._ 2.T.C 2.J.C 2.E.V 2.6.T	1.6 1.2 3.0 1.0 0.0 1.6 1.2 3.0 1.0	tje³³+tje⁰	0
3156	Loudi	father	j ɔ ¹³	father/爺	N	242	223	198	115	爺	爺		父親	m n t		6 7 8	AXT	JU2	10	10.J.C 10.U.V 10.2.T	1.6 3.0 1.0	jɔ¹³	0
3157	Loudi	father	t e ⁴⁴ + t e ⁰	father/爹 _father:RED/爹	N N2	611 801	222	197	115	爹爹	爹 爹		父親	i n t + i n t		1 7 8 9 1 7 8	AXT_AXT	TE5_TE6	10	10.T.C 10.E.V 10.5.T 10._._ 10.T.C 10.E.V 10.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	te⁴⁴+te⁰	0
3158	Loudi	father	j ɔ ¹³ + l ɤ ⁴² + k w ẽ ⁰	father/爺 old/老 _father	N N N	242 27 475	223	201	115	爺老倌(BC)	爺 老 倌	BC	父親	i n t + i n t + i m n t		6 7 8 9 5 7 8 9 1 6 7 8	AXT_AXT_ACXT	JU2_LE3_KWE6	10	10.J.C 10.U.V 10.2.T 10._._ 10.L.C 10.E.V 10.3.T 10._._ 10.K.C 10.W.C 10.E.V 10.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	jɔ¹³+lɤ⁴²+kwẽ⁰	0
3159	Nanchang	father	f u ²¹	father/父	N	610	221	191	116	父	父		父親	i n t		3 7 8	AXT	BY3	12	12.B.C 12.Y.V 12.3.T	1.6 3.0 1.0	fu²¹	0
3160	Nanchang	father	j a ⁴⁵	father/爺	N	242	230	198	115	爷	爷		父親	m n t		6 7 8	AXT	JA2	12	12.J.C 12.A.V 12.2.T	1.6 3.0 1.0	ja⁴⁵	0
3161	Meixian	father	a ³³ + p a ³³	_-sibling:PREF/阿 father/爸	Pref N	614 470	220	199	115	阿爸	阿 爸		父親	n t + i n t		7 8 9 1 7 8	XT_AXT	A4_PA4	11	11.A.V 11.4.T 11._._ 11.P.C 11.A.V 11.4.T	3.0 1.0 0.0 1.6 3.0 1.0	a³³+pa³³	0
3162	Guilin	father	m ã ⁵⁵	father/?	N	754	229	202	117	囗	囗		父親	i n t		4 7 8	AXT	MA5	6	6.M.C 6.A.V 6.5.T	1.6 3.0 1.0	mã⁵⁵	0
3163	Guangzhou	father	f u ²³	father/父	N	610	221	191	116	父	父		父親	i n t		3 7 8	AXT	BY2	5	5.B.C 5.Y.V 5.2.T	1.6 3.0 1.0	fu²³	0
3164	Fuzhou	father	i ⁵⁵ + p a ⁵⁵	_sibling:PREF/依 father/爸	Pref N	615 470	220	203	115	依爸(MC)	依 爸	MC	父親	n t + i n t		7 8 9 1 7 8	XT_AXT	I5_PA5	4	4.I.V 4.5.T 4._._ 4.P.C 4.A.V 4.5.T	3.0 1.0 0.0 1.6 3.0 1.0	i⁵⁵+pa⁵⁵	0
3165	Fuzhou	father	i ⁵⁵ + t j e ⁵⁵	_sibling:PREF/依 father/爹	Pref N	615 611	222	204	115	依爹(MC)	依 爹	MC	父親	n t + i m n t		7 8 9 1 6 7 8	XT_ACXT	I5_TJE5	4	4.I.V 4.5.T 4._._ 4.T.C 4.J.C 4.E.V 4.5.T	3.0 1.0 0.0 1.6 1.2 3.0 1.0	i⁵⁵+tje⁵⁵	0
3166	Fuzhou	father	i ⁵⁵ + j e ⁵³	_sibling:PREF/依 father/爺	Pref N	615 242	223	205	115	依爺(旧时MC)	依 爺	旧时MC	父親	n t + i n t		7 8 9 6 7 8	XT_AXT	I5_JE3	4	4.I.V 4.5.T 4._._ 4.J.C 4.E.V 4.3.T	3.0 1.0 0.0 1.6 3.0 1.0	i⁵⁵+je⁵³	0
3167	Fuzhou	father	l ou ŋ ⁵³ + m a ²⁴²	father/郎 father/罷	N N	57 616	231	206	118	郎罷(MC)	郎 罷	MC	父親	i n c t + i n t		5 7 4 8 9 4 7 8	AXLT_AXT	LUN3_MA6	4	4.L.C 4.U.V 4.N.c 4.3.T 4._._ 4.M.C 4.A.V 4.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	louŋ⁵³+ma²⁴²	0
3168	Xiamen	father	l au ²² + p e ²²	old/老 father/爸	Pref N	27 470	220	207	115	老爸	老 爸		父親	i n t + i n t		5 7 8 9 1 7 8	AXT_AXT	LA1_PE1	19	19.L.C 19.A.V 19.1.T 19._._ 19.P.C 19.E.V 19.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	lau²²+pe²²	0
#
25	Beijing	fear	pʰ a̠ ⁵¹	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA3	1	1.P.C 1.A.V 1.3.T	1.6 3.0 1.0	pʰa̠⁵¹	0
26	Ha_erbin	fear	pʰ a ⁵³	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA3	7	7.P.C 7.A.V 7.3.T	1.6 3.0 1.0	pʰa⁵³	0
27	Jinan	fear	pʰ a ³¹	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA3	8	8.P.C 8.A.V 8.3.T	1.6 3.0 1.0	pʰa³¹	0
28	Rongcheng	fear	pʰ a ³³⁴	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA6	14	14.P.C 14.A.V 14.6.T	1.6 3.0 1.0	pʰa³³⁴	0
29	Taiyuan	fear	pʰ a ⁴⁵	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA2	16	16.P.C 16.A.V 16.2.T	1.6 3.0 1.0	pʰa⁴⁵	0
30	Xi_an	fear	pʰ ɑ ⁴⁴	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA5	18	18.P.C 18.A.V 18.5.T	1.6 3.0 1.0	pʰɑ⁴⁴	0
31	Chengdu	fear	pʰ a ²¹³	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA6	3	3.P.C 3.A.V 3.6.T	1.6 3.0 1.0	pʰa²¹³	0
33	Nanjing	fear	pʰ ɑ ⁴⁴	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA5	13	13.P.C 13.A.V 13.5.T	1.6 3.0 1.0	pʰɑ⁴⁴	0
34	Jixi	fear	pʰ o ³⁵	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PU2	9	9.P.C 9.U.V 9.2.T	1.6 3.0 1.0	pʰo³⁵	0
36	Wenzhou	fear	h o ⁴¹	fear/唬	V	13	237	209	122	唬	唬		怕	i n t		3 7 8	AXT	HU3	17	17.H.C 17.U.V 17.3.T	1.6 3.0 1.0	ho⁴¹	0
37	Changsha	fear	pʰ a ⁵⁵	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA5	2	2.P.C 2.A.V 2.5.T	1.6 3.0 1.0	pʰa⁵⁵	0
38	Loudi	fear	pʰ ɔ ³⁵	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PU2	10	10.P.C 10.U.V 10.2.T	1.6 3.0 1.0	pʰɔ³⁵	0
39	Nanchang	fear	pʰ a ²¹³	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA6	12	12.P.C 12.A.V 12.6.T	1.6 3.0 1.0	pʰa²¹³	0
42	Meixian	fear	k j a ŋ ⁴⁴	fear/驚	V	15	236	210	121	驚	驚		怕	i m n c t		1 6 7 4 8	ACXLT	KJAN5	11	11.K.C 11.J.C 11.A.V 11.N.c 11.5.T	1.6 1.2 3.0 1.1 1.0	kjaŋ⁴⁴	0
43	Guilin	fear	pʰ a̠ ²⁵	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA2	6	6.P.C 6.A.V 6.2.T	1.6 3.0 1.0	pʰa̠²⁵	0
44	Guangzhou	fear	pʰ a ³³	fear/怕	V	11	235	208	120	怕	怕		怕	i n t		1 7 8	AXT	PA4	5	5.P.C 5.A.V 5.4.T	1.6 3.0 1.0	pʰa³³	0
45	Fuzhou	fear	k j a ŋ ⁵⁵	fear/驚	V	15	236	210	121	驚	驚		怕	i m n c t		1 6 7 4 8	ACXLT	KJAN5	4	4.K.C 4.J.C 4.A.V 4.N.c 4.5.T	1.6 1.2 3.0 1.1 1.0	kjaŋ⁵⁵	0
46	Xiamen	fear	k j ã ⁵⁵	fear/驚	V	15	236	210	121	驚	驚		怕	i m n t		1 6 7 8	ACXT	KJA5	19	19.K.C 19.J.C 19.A.V 19.5.T	1.6 1.2 3.0 1.0	kjã⁵⁵	0
#
2011	Beijing	feather	y ²¹³ + m ɑu ³⁵	_feather/羽 hair.feather.fur/毛	N N	403 263	240	211	123	羽毛	羽 毛		羽毛	n t + i n t		7 8 9 4 7 8	XT_AXT	Y6_MA2	1	1.Y.V 1.6.T 1._._ 1.M.C 1.A.V 1.2.T	3.0 1.0 0.0 1.6 3.0 1.0	y²¹³+mɑu³⁵	0
2012	Ha_erbin	feather	y ²¹³ + m au ²⁴	_feather/羽 hair.feather.fur/毛	N N	403 263	240	211	123	羽毛儿	羽 毛		羽毛	n t + i n t		7 8 9 4 7 8	XT_AXT	Y6_MA2	7	7.Y.V 7.6.T 7._._ 7.M.C 7.A.V 7.2.T	3.0 1.0 0.0 1.6 3.0 1.0	y²¹³+mau²⁴	0
