ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
34	Jixi	fear	pʰo³⁵	pʰo³⁵	pʰ o ³⁵	pʰ o ³⁵	FEAR	11	235	221	131	怕	怕		怕	i n t	
35	Suzhou	fear	pʰo⁴¹²	pʰo⁴¹²	pʰ o ⁴¹²	pʰ o ⁴¹²	FEAR	11	235	221	131	怕	怕		怕	i n t	
36	Wenzhou	fear	ho⁴¹	ho⁴¹	h o ⁴¹	h o ⁴¹	FEAR	13	237	223	133	唬	唬		怕	i n t	
37	Changsha	fear	pʰa⁵⁵	pʰa⁵⁵	pʰ a ⁵⁵	pʰ a ⁵⁵	FEAR	11	235	221	131	怕	怕		怕	i n t	
38	Loudi	fear	pʰɔ³⁵	pʰɔ³⁵	pʰ ɔ ³⁵	pʰ ɔ ³⁵	FEAR	11	235	221	131	怕	怕		怕	i n t	
39	Nanchang	fear	pʰa²¹³	pʰa²¹³	pʰ a ²¹³	pʰ a ²¹³	FEAR	11	235	221	131	怕	怕		怕	i n t	
40	Meixian	fear	pʰa⁵³	pʰa⁵³	pʰ a ⁵³	pʰ a ⁵³	FEAR	11	235	221	131	怕	怕		怕	i n t	
41	Meixian	fear	vi⁵³	vi⁵³	v i ⁵³	v i ⁵³	FEAR	14	239	224	135	畏	畏		怕	i n t	
42	Meixian	fear	kiaŋ⁴⁴	kjaŋ⁴⁴	k j a ŋ ⁴⁴	k i a ŋ ⁴⁴	FEAR	15	236	225	132	驚	驚		怕	i m n c t	
43	Guilin	fear	pʰᴀ²⁵	pʰa̠²⁵	pʰ a̠ ²⁵	pʰ a̠ ²⁵	FEAR	11	235	221	131	怕	怕		怕	i n t	
44	Guangzhou	fear	pʰa³³	pʰa³³	pʰ a ³³	pʰ a ³³	FEAR	11	235	221	131	怕	怕		怕	i n t	
45	Fuzhou	fear	kiaŋ⁵⁵	kjaŋ⁵⁵	k j a ŋ ⁵⁵	k i a ŋ ⁵⁵	FEAR	15	236	225	132	驚	驚		怕	i m n c t	
46	Xiamen	fear	kiã⁵⁵	kjã⁵⁵	k j ã ⁵⁵	k i ã ∼ ⁵⁵	FEAR	15	236	225	132	驚	驚		怕	i m n c t	
47	Beijing	skin	pʰi³⁵ fu⁰	pʰi³⁵+fu⁰	pʰ i ³⁵ + f u ⁰	pʰ i ³⁵ + f u ⁰	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
48	Ha_erbin	skin	ʐou⁵³ pʰiər²⁴	ʐou⁵³+pʰjə²⁴	ʐ ou ⁵³ + pʰ j ə ²⁴	ʐ o u ⁵³ + pʰ i ə˞/ə ²⁴	_skin SKIN	18 16	786	691	375	肉皮兒	肉 皮		皮膚	i n N t + i m nr t	
49	Jinan	skin	pʰi⁵³ fu²¹⁴	pʰi⁵³+fu²¹⁴	pʰ i ⁵³ + f u ²¹⁴	pʰ i ⁵³ + f u ²¹⁴	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
50	Rongcheng	skin	pʰi³⁵ fu⁵²	pʰi³⁵+fu⁵²	pʰ i ³⁵ + f u ⁵²	pʰ i ³⁵ + f u ⁵²	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
51	Taiyuan	skin	pʰi²¹ fu²¹	pʰi²¹+fu²¹	pʰ i ²¹ + f u ²¹	pʰ i ²¹ + f u ²¹	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
52	Xi_an	skin	pʰi²⁴	pʰi²⁴	pʰ i ²⁴	pʰ i ²⁴	SKIN	16	786	692	375	皮	皮		皮膚	i n t	
53	Chengdu	skin	pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵	pʰi²¹+pʰi²¹	pʰ i ²¹ + pʰ i ²¹	pʰ i ⁵⁵/²¹ + pʰ i ⁵⁵/²¹	SKIN _skin	16 16	786	693	375	皮皮	皮 皮		皮膚	i n t + i n t	
54	Chengdu	skin	pʰi²¹⁻⁵⁵ tsɿ⁵³	pʰi²¹+tsɿ⁵³	pʰ i ²¹ + ts ɿ ⁵³	pʰ i ⁵⁵/²¹ + ts ɿ ⁵³	SKIN _skin	17 19	787	694	375	膚子	膚 子		皮膚	i n t + i n t	
55	Nanjing	skin	pʰi¹³ fu³¹	pʰi¹³+fu³¹	pʰ i ¹³ + f u ³¹	pʰ i ¹³ + f u ³¹	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
56	Jixi	skin	pʰɿ⁴⁴	pʰɿ⁴⁴	pʰ ɿ ⁴⁴	pʰ ɿ ⁴⁴	SKIN	16	786	692	375	皮	皮		皮膚	i n t	
57	Suzhou	skin	bi¹³⁻²² fu⁴⁴⁻³¹	bi¹³+fu⁴⁴	b i ¹³ + f u ⁴⁴	b i ²²/¹³ + f u ³¹/⁴⁴	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
58	Wenzhou	skin	bei³⁴¹⁻³³ fu⁴⁴⁻²²	bei³⁴¹+fu⁴⁴	b ei ³⁴¹ + f u ⁴⁴	b e i ³³/³⁴¹ + f u ²²/⁴⁴	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n N t + i n t	
59	Changsha	skin	pi¹³ fu³³	pi¹³+fu³³	p i ¹³ + f u ³³	p i ¹³ + f u ³³	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
60	Loudi	skin	pʰi¹³	pʰi¹³	pʰ i ¹³	pʰ i ¹³	SKIN	16	786	692	375	皮	皮		皮膚	i n t	
61	Nanchang	skin	pʰi²⁴ fu⁰	pʰi²⁴+fu⁰	pʰ i ²⁴ + f u ⁰	pʰ i ²⁴ + f u ⁰	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
62	Meixian	skin	pʰi¹¹	pʰi¹¹	pʰ i ¹¹	pʰ i ¹¹	SKIN	16	786	692	375	皮	皮		皮膚	i n t	
63	Guilin	skin	pi²² fu⁴²⁻²²	pi²²+fu⁴²	p i ²² + f u ⁴²	p i ²² + f u ²²/⁴²	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n t + i n t	
64	Guangzhou	skin	pʰei²¹ fu⁵³	pʰei²¹+fu⁵³	pʰ ei ²¹ + f u ⁵³	pʰ e i ²¹ + f u ⁵³	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i n N t + i n t	
65	Fuzhou	skin	pʰuoi⁵³⁻⁵⁵ u⁵⁵	pʰwoi⁵³+u⁵⁵	pʰ w oi ⁵³ + u ⁵⁵	pʰ u o i ⁵⁵/⁵³ + u ⁵⁵	SKIN _skin	16 17	786	690	375	皮膚	皮 膚		皮膚	i m n N t + n t	
66	Fuzhou	skin	pʰuoi⁵³	pʰwoi⁵³	pʰ w oi ⁵³	pʰ u o i ⁵³	SKIN	16	786	692	375	皮	皮		皮膚	i m n N t	
67	Xiamen	skin	pʰe²¹	pʰe²¹	pʰ e ²¹	pʰ e ²¹	SKIN	16	786	692	375	皮	皮		皮膚	i n t	
68	Beijing	float	pʰiɑu⁵⁵ fu³⁵	pʰjɑu⁵⁵+fu³⁵	pʰ j ɑu ⁵⁵ + f u ³⁵	pʰ i ɑ u ⁵⁵ + f u ³⁵	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n N t + i n t	
69	Ha_erbin	float	pʰiau⁴⁴ fu²⁴	pʰjau⁴⁴+fu²⁴	pʰ j au ⁴⁴ + f u ²⁴	pʰ i a u ⁴⁴ + f u ²⁴	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n N t + i n t	
70	Jinan	float	pʰiɔ²¹⁴ fu⁵³	pʰjɔ²¹⁴+fu⁵³	pʰ j ɔ ²¹⁴ + f u ⁵³	pʰ i ɔ ²¹⁴ + f u ⁵³	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
71	Rongcheng	float	pʰiau⁵² fu³⁵	pʰjau⁵²+fu³⁵	pʰ j au ⁵² + f u ³⁵	pʰ i a u ⁵² + f u ³⁵	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n N t + i n t	
72	Taiyuan	float	pʰiɑu²¹	pʰjɑu²¹	pʰ j ɑu ²¹	pʰ i ɑ u ²¹	FLOAT	20	265	248	146	漂	漂		漂浮	i m n N t	
73	Xi_an	float	pʰiau²¹	pʰjau²¹	pʰ j au ²¹	pʰ i a u ²¹	FLOAT	20	265	248	146	漂	漂		漂浮	i m n N t	
74	Xi_an	float	fu²⁴	fu²⁴	f u ²⁴	f u ²⁴	FLOAT	21	264	249	146	浮	浮		漂浮	i n t	
75	Chengdu	float	pʰiau⁴⁵	pʰjau⁴⁵	pʰ j au ⁴⁵	pʰ i a u ⁴⁵	FLOAT	20	265	248	146	漂	漂		漂浮	i m n N t	
76	Nanjing	float	pʰiɔ³¹ fu¹³	pʰjɔ³¹+fu¹³	pʰ j ɔ ³¹ + f u ¹³	pʰ i ɔ ³¹ + f u ¹³	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
77	Nanjing	float	fu¹³	fu¹³	f u ¹³	f u ¹³	FLOAT	21	264	249	146	浮	浮		漂浮	i n t	
78	Nanjing	float	piɔ³¹	pjɔ³¹	p j ɔ ³¹	p i ɔ ³¹	FLOAT	20	265	248	146	漂	漂		漂浮	i m n t	
79	Jixi	float	fu⁴⁴	fu⁴⁴	f u ⁴⁴	f u ⁴⁴	FLOAT	21	264	249	146	浮	浮		漂浮	i n t	
80	Jixi	float	pʰie⁵⁵ fu⁴⁴	pʰje⁵⁵+fu⁴⁴	pʰ j e ⁵⁵ + f u ⁴⁴	pʰ i e ⁵⁵ + f u ⁴⁴	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n t	
81	Suzhou	float	tʰən⁵²	tʰən⁵²	tʰ ə n ⁵²	tʰ ə n ⁵²	FLOAT	22	267	250	147	氽	氽		漂浮	i n c t	
82	Wenzhou	float	və³⁴¹	və³⁴¹	v ə ³⁴¹	v ə ³⁴¹	FLOAT	21	264	249	146	浮	浮		漂浮	i n t	
83	Wenzhou	float	taŋ⁵¹	taŋ⁵¹	t a ŋ ⁵¹	t a ŋ ⁵¹	FLOAT	22	267	250	147	氽	氽		漂浮	i n c t	
84	Changsha	float	pʰiau³³ fu⁰	pʰjau³³+fu⁰	pʰ j au ³³ + f u ⁰	pʰ i a u ³³ + f u ⁰	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n N t + i n t	
85	Loudi	float	bɤ¹³	bɤ¹³	b ɤ ¹³	b ɤ ¹³	FLOAT	20	265	248	146	漂	漂		漂浮	i n t	
86	Nanchang	float	pʰiɛu⁴²	pʰjɛu⁴²	pʰ j ɛu ⁴²	pʰ i ɛ u ⁴²	FLOAT	20	265	248	146	漂	漂		漂浮	i m n N t	
87	Nanchang	float	fəu⁴⁵	fəu⁴⁵	f əu ⁴⁵	f ə u ⁴⁵	FLOAT	21	264	249	146	浮	浮		漂浮	i n N t	
88	Nanchang	float	pʰiɛu⁴² fɛu⁴⁵	pʰjɛu⁴²+fɛu⁴⁵	pʰ j ɛu ⁴² + f ɛu ⁴⁵	pʰ i ɛ u ⁴² + f ɛ u ⁴⁵	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n N t + i n N t	
89	Meixian	float	feu¹¹	feu¹¹	f eu ¹¹	f e u ¹¹	FLOAT	21	264	249	146	浮	浮		漂浮	i n N t	
90	Guilin	float	fu²² tɑu²³⁻³³	fu²²+tɑu²³	f u ²² + t ɑu ²³	f u ²² + t ɑ u ³³/²³	FLOAT _float	21 23	264	251	146	浮倒	浮 倒		漂浮	i n t + i n N t	
91	Guangzhou	float	pʰiu⁵³ fɐu²¹	pʰju⁵³+fɐu²¹	pʰ j u ⁵³ + f ɐu ²¹	pʰ i u ⁵³ + f ɐ u ²¹	_float FLOAT	20 21	264	247	146	漂浮	漂 浮		漂浮	i m n t + i n N t	
92	Fuzhou	float	pʰieu⁵⁵ lɛ³²	pʰjeu⁵⁵+lɛ³²	pʰ j eu ⁵⁵ + l ɛ ³²	pʰ i e u ⁵⁵ + l ɛ ³²	FLOAT _float	20 24	265	252	146	漂口+禮	漂 𡅏		漂浮	i m n N t + i n t	
93	Fuzhou	float	pʰu⁵³ lɛ³²	pʰu⁵³+lɛ³²	pʰ u ⁵³ + l ɛ ³²	pʰ u ⁵³ + l ɛ ³²	FLOAT _float	21 24	264	253	146	浮口+禮	浮 𡅏		漂浮	i n t + i n t	
94	Xiamen	float	pʰu²⁴	pʰu²⁴	pʰ u ²⁴	pʰ u ²⁴	FLOAT	21	264	249	146	浮	浮		漂浮	i n t	
95	Beijing	smooth	pʰiŋ³⁵	pʰiŋ³⁵	pʰ i ŋ ³⁵	pʰ i ŋ ³⁵	SMOOTH	25	809	710	387	平	平		平	i n c t	
96	Ha_erbin	smooth	pʰiŋ²⁴	pʰiŋ²⁴	pʰ i ŋ ²⁴	pʰ i ŋ ²⁴	SMOOTH	25	809	710	387	平	平		平	i n c t	
97	Jinan	smooth	pʰiŋ⁵³	pʰiŋ⁵³	pʰ i ŋ ⁵³	pʰ i ŋ ⁵³	SMOOTH	25	809	710	387	平	平		平	i n c t	
98	Rongcheng	smooth	pʰiŋ³⁵	pʰiŋ³⁵	pʰ i ŋ ³⁵	pʰ i ŋ ³⁵	SMOOTH	25	809	710	387	平	平		平	i n c t	
99	Taiyuan	smooth	pʰiŋ²¹	pʰiŋ²¹	pʰ i ŋ ²¹	pʰ i ŋ ²¹	SMOOTH	25	809	710	387	平	平		平	i n c t	
100	Xi_an	smooth	pʰiŋ²⁴	pʰiŋ²⁴	pʰ i ŋ ²⁴	pʰ i ŋ ²⁴	SMOOTH	25	809	710	387	平	平		平	i n c t	
101	Chengdu	smooth	pʰin²¹	pʰin²¹	pʰ i n ²¹	pʰ i n ²¹	SMOOTH	25	809	710	387	平	平		平	i n c t	
102	Nanjing	smooth	pʰin¹³	pʰin¹³	pʰ i n ¹³	pʰ i n ¹³	SMOOTH	25	809	710	387	平	平		平	i n c t	
103	Jixi	smooth	pʰiɑ̃⁴⁴	pʰjɑ̃⁴⁴	pʰ j ɑ̃ ⁴⁴	pʰ i ɑ̃ ∼ ⁴⁴	SMOOTH	25	809	710	387	平	平		平	i m n c t	
104	Suzhou	smooth	bin¹³	bin¹³	b i n ¹³	b i n ¹³	SMOOTH	25	809	710	387	平	平		平	i n c t	
105	Wenzhou	smooth	beŋ³⁴¹	beŋ³⁴¹	b e ŋ ³⁴¹	b e ŋ ³⁴¹	SMOOTH	25	809	710	387	平	平		平	i n c t	
106	Changsha	smooth	pin¹³	pin¹³	p i n ¹³	p i n ¹³	SMOOTH	25	809	710	387	平	平		平	i n c t	
107	Loudi	smooth	pʰiɔ¹³	pʰjɔ¹³	pʰ j ɔ ¹³	pʰ i ɔ ¹³	SMOOTH	25	809	710	387	平	平		平	i m n t	
108	Nanchang	smooth	pʰin²⁴	pʰin²⁴	pʰ i n ²⁴	pʰ i n ²⁴	SMOOTH	25	809	710	387	平	平		平	i n c t	
109	Meixian	smooth	pʰiaŋ¹¹	pʰjaŋ¹¹	pʰ j a ŋ ¹¹	pʰ i a ŋ ¹¹	SMOOTH	25	809	710	387	平	平		平	i m n c t	
110	Guilin	smooth	pei²²	pei²²	p ei ²²	p e i ²²	SMOOTH	25	809	710	387	平	平		平	i n N t	
111	Guangzhou	smooth	pʰɛŋ²¹	pʰɛŋ²¹	pʰ ɛ ŋ ²¹	pʰ ɛ ŋ ²¹	SMOOTH	25	809	710	387	平	平		平	i n c t	
112	Fuzhou	smooth	paŋ⁵³	paŋ⁵³	p a ŋ ⁵³	p a ŋ ⁵³	SMOOTH	25	809	710	387	平	平		平	i n c t	
113	Xiamen	smooth	piæ²⁴	pjæ²⁴	p j æ ²⁴	p i æ ²⁴	SMOOTH	25	809	710	387	平	平		平	i m n t	
114	Beijing	wife	tɕʰi⁵⁵ tsɿ⁰	tɕʰi⁵⁵+tsɿ⁰	tɕʰ i ⁵⁵ + ts ɿ ⁰	tɕʰ i ⁵⁵ + ts ɿ ⁰	wife _WIFE	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
115	Ha_erbin	wife	lau²¹³⁻²¹ pʰɤ⁰	lau²¹³+pʰɤ⁰	l au ²¹³ + pʰ ɤ ⁰	l a u ²¹/²¹³ + pʰ ɤ ⁰	_WIFE wife	27 28	1091	938	521	老婆	老 婆		妻子	i n N t + i n t	
116	Ha_erbin	wife	ɕi²¹³⁻²¹ fur⁰	ɕi²¹³+fu⁰	ɕ i ²¹³ + f u ⁰	ɕ i ²¹/²¹³ + f u˞/u ⁰	WIFE wife	29 30	1099	939	523	媳婦兒	媳 婦		妻子	i n t + i nr t	
117	Ha_erbin	wife	lau²¹³⁻²¹ niaŋ²⁴ mər⁰	lau²¹³+njaŋ²⁴+mə⁰	l au ²¹³ + n j a ŋ ²⁴ + m ə ⁰	l a u ²¹/²¹³ + n i a ŋ ²⁴ + m ə˞/ə ⁰	_WIFE wife _wife	27 31 32	1091	940	521	老娘们儿	老 娘 们		妻子	i n N t + i m n c t + i nr t	
118	Jinan	wife	tɕʰi²¹³⁻²¹ tsɿ⁰	tɕʰi²¹³+tsɿ⁰	tɕʰ i ²¹³ + ts ɿ ⁰	tɕʰ i ²¹/²¹³ + ts ɿ ⁰	wife _WIFE	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
119	Rongcheng	wife	lau²¹³ pʰə⁰	lau²¹³+pʰə⁰	l au ²¹³ + pʰ ə ⁰	l a u ²¹³ + pʰ ə ⁰	_WIFE wife	27 28	1091	938	521	老婆	老 婆		妻子	i n N t + i n t	
120	Taiyuan	wife	lau⁵³ pʰɤ²¹	lau⁵³+pʰɤ²¹	l au ⁵³ + pʰ ɤ ²¹	l a u ⁵³ + pʰ ɤ ²¹	_WIFE wife	27 28	1091	938	521	老婆	老 婆		妻子	i n N t + i n t	
121	Xi_an	wife	ɕi²¹ fur⁰	ɕi²¹+fu⁰	ɕ i ²¹ + f u ⁰	ɕ i ²¹ + f u˞/u ⁰	WIFE wife	29 30	1099	939	523	媳婦兒(年輕時稱)	媳 婦	年輕時稱	妻子	i n t + i nr t	
122	Xi_an	wife	pʰo²⁴ niɑŋ⁰	pʰo²⁴+njɑŋ⁰	pʰ o ²⁴ + n j ɑ ŋ ⁰	pʰ o ²⁴ + n i ɑ ŋ ⁰	WIFE _wife	28 31	1092	941	521	婆娘(中老年時稱)	婆 娘	中老年時稱	妻子	i n t + i m n c t	
123	Xi_an	wife	uɑ⁴⁴ tʰɑ²⁴ mɑ²¹	wɑ⁴⁴+tʰɑ²⁴+mɑ²¹	w ɑ ⁴⁴ + tʰ ɑ ²⁴ + m ɑ ²¹	u ɑ ⁴⁴ + tʰ ɑ ²⁴ + m ɑ ²¹	WIFE wife wife	33 34 35	1113	942	526	娃大妈(有了小孩時稱)	娃 大 妈	有了小孩時稱	妻子	m n t + i n t + i n t	
124	Xi_an	wife	u²¹ ni⁰ ʐẽ²⁴	u²¹+ni⁰+ʐẽ²⁴	u ²¹ + n i ⁰ + ʐ ẽ ²⁴	u ²¹ + n i ⁰ + ʐ ẽ ∼ ²⁴	wife wife WIFE	36 37 38	1102	943	525	屋裡人(與外人相對)	屋 裡 人	與外人相對	妻子	n t + i n t + i n c t	
125	Chengdu	wife	lau⁵³⁻⁴⁵ pʰo²¹	lau⁵³+pʰo²¹	l au ⁵³ + pʰ o ²¹	l a u ⁴⁵/⁵³ + pʰ o ²¹	_WIFE wife	27 28	1091	938	521	老婆	老 婆		妻子	i n N t + i n t	
126	Chengdu	wife	lau⁵³⁻⁴⁵ ȵiər²¹	lau⁵³+ɲjə²¹	l au ⁵³ + ɲ j ə ²¹	l a u ⁴⁵/⁵³ + ɲ i ə˞/ə ²¹	_WIFE wife	27 31	1091	944	521	老娘兒(多用與BC)	老 娘	多用與BC	妻子	i n N t + i m nr t	
