ID	LEXIBANK_ID	SUBGROUP	ID_IN_SOURCE	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	CONCEPTICON_ID	COGID	TONE_CLASS	TONE_VALUE	CLASSIFICATION	RATLIFF_FORM
3411	KimMun-595_bad-2	Mienic		BAD	bad		KimMun	Kim Mun	kimm1245	ˀp ai ⁴²	1292		0	去声.浊.入声.浊	⁴²	Kim Mun	
3412	BiaoMin-595_bad-1	Mienic		BAD	bad		BiaoMin	Biao Min	biao1254	tsʰ a ³³	1292		0	阴平	³³	Biao Min	
3413	ZaoMin-595_bad-1	Mienic		BAD	bad		ZaoMin	Zao Min	dzao1238	v ai ²²	1292		0	阳去.阳入	²²	Zao Min	
152	WhiteHmong-634_thebamboo-1			BAMBOO	the bamboo		WhiteHmong	White Hmong	hmon1333	ɕ o ŋ ˥/⁵⁵	1927		424	˥	˥/⁵⁵	White Hmong	ʈ aɯ ⁸/²⁴
1720	EasternLuobuohe-217_bamboo-1	Hmongic		BAMBOO	bamboo		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + ȵ o ³¹	1927		0	? 平	⁰/² ³¹	Luopohe	
1721	WesternLuobuohe-217_bamboo-1	Hmongic		BAMBOO	bamboo		WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + ȵ̥ o ³¹	1927		0	? 平.上	⁰/² ³¹	Luopohe	
1722	SouthernGuizhouChuanqiandian-217_bamboo-1	Hmongic		BAMBOO	bamboo		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	ʈ ə ²¹	1927		424	?	²¹	Southern Chuanqiandian	ʈ ə ⁸/²⁴
1723	WesternXiangxi-217_bamboo-1	Hmongic		BAMBOO	bamboo		WesternXiangxi	Xiangxi, West	west2430	q o ³⁵ + ɬ o ⁴⁴	1927		379	阴平 阴上.阴入	³⁵ ⁴⁴	Western Xiangxi	l̥ʰ o ³
1724	NorthernQiandong-217_bamboo-1	Hmongic		BAMBOO	bamboo		NorthernQiandong	Qiandong, North	nort2747	ɬʰ o ³⁵	1927		379	阴上	³⁵	Northern Qiandong	l̥ʰ o ³
1725	WesternBaheng-217_bamboo-1	Hmongic		BAMBOO	bamboo		WesternBaheng	Baheng, West	pahn1237	p o ³³	1927		0	阳平	³³	Baheng	
