ID	LEXIBANK_ID	SUBGROUP	ID_IN_SOURCE	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	CONCEPTICON_ID	COGID	CLASSIFICATION	DATASET
1533	NorthernQiandongMiao-29-ashes-1			ASH	ashes		NorthernQiandongMiao	1 Northern Qiandong Miao [hea]	nort2747	ɕʰ u ³	646		0	Northern Qiandong	ratliffhmongmien
1534	WesternXiangxiMiao-29-ashes-1			ASH	ashes		WesternXiangxiMiao	2 Western Xiangxi Miao [mmr]	west2430	ɕ i ³	646		0	Western Xiangxi	ratliffhmongmien
1535	CentralMashanHmong-29-ashes-1			ASH	ashes		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	s ɔ ³ᵇ/³	646		0	Southern Chuanqiandian	ratliffhmongmien
1536	Luopohe-29-ashes-1			ASH	ashes		Luopohe	5 Luopohe Hmong [hml]	luop1235	tsʰ u ᴮ/²	646		0	Luopohe	ratliffhmongmien
1537	JiongnaiBunu-29-ashes-1			ASH	ashes		JiongnaiBunu	6 Jiongnai Bunu [pnu]	jion1236	θ e ³	646		0	Jiongnai	ratliffhmongmien
1538	PaHng-29-ashes-1			ASH	ashes		PaHng	7 Pa-Hng [pha]	pahn1237	ɕ i ³	646		0	Baheng	ratliffhmongmien
1539	luMien-29-ashes-1			ASH	ashes		luMien	8 Iu Mien [ium]	iumi1238	ɕ w ai ³	646		0	Mien	ratliffhmongmien
1540	KimMun-29-ashes-1			ASH	ashes		KimMun	9 Kim Mun [mji]	kimm1245	s aːi ³	646		0	Kim Mun	chenhmongmien
1541	BiaoMon-29-ashes-1			ASH	ashes		BiaoMon	10 Biao Mon [bmt]	biao1256	s w ai ³	646		0	Biao Min	ratliffhmongmien
1542	DzaoMin-29-ashes-1			ASH	ashes		DzaoMin	11 Dzao Min [bpn]	dzao1238	s ɔi ³	646		0	Zao Min	ratliffhmongmien
2681	EasternLuobuohe-15_ash-1	Hmongic		ASH	ash		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + tsʰ y ⁵⁵	646		0	Luopohe	chenhmongmien
2682	WesternLuobuohe-15_ash-1	Hmongic		ASH	ash		WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + tsʰ u ⁵⁵	646		0	Luopohe	chenhmongmien
2683	SouthernGuizhouChuanqiandian-15_ash-1	Hmongic		ASH	ash		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	s ɔ ²²	646		0	Southern Chuanqiandian	chenhmongmien
2684	WesternXiangxi-15_ash-1	Hmongic		ASH	ash		WesternXiangxi	Xiangxi, West	west2430	ɕ i ⁴⁴	646		0	Western Xiangxi	chenhmongmien
2685	NorthernQiandong-15_ash-1	Hmongic		ASH	ash		NorthernQiandong	Qiandong, North	nort2747	q a ³⁵ + ɕʰ u ³⁵	646		0	Northern Qiandong	chenhmongmien
2686	WesternBaheng-15_ash-1	Hmongic		ASH	ash		WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + s i ³¹	646		0	Baheng	chenhmongmien
2687	EasternBaheng-15_ash-1	Hmongic		ASH	ash		EasternBaheng	Baheng, East	pahn1237	ɕ i ³¹³	646		0	Baheng	chenhmongmien
2688	Jiongnai-15_ash-1	Hmongic		ASH	ash		Jiongnai	Jiongnai	jion1236	θ ei ⁵³	646		0	Jiongnai	chenhmongmien
2689	Mien-15_ash-1	Mienic		ASH	ash		Mien	Mien	iumi1238	s aːi ⁵³	646		0	Mien	chenhmongmien
2690	KimMun-15_ash-1	Mienic		ASH	ash		KimMun	Kim Mun	kimm1245	ʃ aːi ⁵¹	646		0	Kim Mun	chenhmongmien
2691	BiaoMin-15_ash-1	Mienic		ASH	ash		BiaoMin	Biao Min	biao1254	s ai ³⁵	646		0	Biao Min	chenhmongmien
2692	ZaoMin-15_ash-1	Mienic		ASH	ash		ZaoMin	Zao Min	dzao1238	s oi ²⁴	646		0	Zao Min	chenhmongmien
949	NorthernQiandongMiao-449-toask-1			ASK (INQUIRE)	to ask		NorthernQiandongMiao	1 Northern Qiandong Miao [hea]	nort2747	n ɛ ⁶/¹³	1309		0	Northern Qiandong	ratliffhmongmien
950	WesternXiangxiMiao-449-toask-1			ASK (INQUIRE)	to ask		WesternXiangxiMiao	2 Western Xiangxi Miao [mmr]	west2430	n e ⁶/¹³	1309		0	Western Xiangxi	ratliffhmongmien
951	CentralMashanHmong-449-toask-1			ASK (INQUIRE)	to ask		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	n o ŋ ⁶/¹³	1309		0	Southern Chuanqiandian	ratliffhmongmien
952	Luopohe-449-toask-1			ASK (INQUIRE)	to ask		Luopohe	5 Luopohe Hmong [hml]	luop1235	n a ᶜ/³	1309		0	Luopohe	ratliffhmongmien
953	JiongnaiBunu-449-toask-1			ASK (INQUIRE)	to ask		JiongnaiBunu	6 Jiongnai Bunu [pnu]	jion1236	n ɔ ⁶/¹³	1309		0	Jiongnai	ratliffhmongmien
954	PaHng-449-toask-1			ASK (INQUIRE)	to ask		PaHng	7 Pa-Hng [pha]	pahn1237	n ɪ̃ ⁶/¹³	1309		0	Baheng	ratliffhmongmien
967	luMien-449-toask-1			ASK (INQUIRE)	to ask		luMien	8 Iu Mien [ium]	iumi1238	n aːi ⁶/¹³	1309		0	Mien	ratliffhmongmien
968	KimMun-449-toask-1			ASK (INQUIRE)	to ask		KimMun	9 Kim Mun [mji]	kimm1245	n aːi ⁶/¹³	1309		0	Kim Mun	chenhmongmien
969	BiaoMon-449-toask-1			ASK (INQUIRE)	to ask		BiaoMon	10 Biao Mon [bmt]	biao1256	n a ⁶/¹³	1309		0	Biao Min	ratliffhmongmien
970	DzaoMin-449-toask-1			ASK (INQUIRE)	to ask		DzaoMin	11 Dzao Min [bpn]	dzao1238	n ɔi ⁶/¹³	1309		0	Zao Min	ratliffhmongmien
6947	EasternLuobuohe-832_ask-1	Hmongic		ASK (INQUIRE)	ask		EasternLuobuohe	Luobuohe, Eastern	luop1235	n a ²⁴	1309		0	Luopohe	chenhmongmien
6948	WesternLuobuohe-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternLuobuohe	Luobuohe, Western	luop1235	n ɑ ³⁵	1309		0	Luopohe	chenhmongmien
6949	SouthernGuizhouChuanqiandian-832_ask-1	Hmongic		ASK (INQUIRE)	ask		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	n o ŋ ¹³	1309		0	Southern Chuanqiandian	chenhmongmien
6950	WesternXiangxi-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternXiangxi	Xiangxi, West	west2430	n e ⁴²	1309		0	Western Xiangxi	chenhmongmien
6951	NorthernQiandong-832_ask-1	Hmongic		ASK (INQUIRE)	ask		NorthernQiandong	Qiandong, North	nort2747	n ɛ ¹³	1309		0	Northern Qiandong	chenhmongmien
6952	WesternBaheng-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternBaheng	Baheng, West	pahn1237	n ei ⁴⁴	1309		0	Baheng	chenhmongmien
6953	EasternBaheng-832_ask-1	Hmongic		ASK (INQUIRE)	ask		EasternBaheng	Baheng, East	pahn1237	n e ³¹	1309		0	Baheng	chenhmongmien
6954	Jiongnai-832_ask-1	Hmongic		ASK (INQUIRE)	ask		Jiongnai	Jiongnai	jion1236	n o ¹¹	1309		0	Jiongnai	chenhmongmien
6955	Mien-832_ask-1	Mienic		ASK (INQUIRE)	ask		Mien	Mien	iumi1238	n aːi ²¹	1309		0	Mien	chenhmongmien
6956	KimMun-832_ask-1	Mienic		ASK (INQUIRE)	ask		KimMun	Kim Mun	kimm1245	n aːi ⁴²	1309		0	Kim Mun	chenhmongmien
6957	BiaoMin-832_ask-1	Mienic		ASK (INQUIRE)	ask		BiaoMin	Biao Min	biao1254	n a ⁴²	1309		0	Biao Min	chenhmongmien
6958	ZaoMin-832_ask-1	Mienic		ASK (INQUIRE)	ask		ZaoMin	Zao Min	dzao1238	n oi ²²	1309		0	Zao Min	chenhmongmien
1088	CentralMashanHmong-303-ontopof-1			ATOP	on top of		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	s a ¹ᵇ/¹	57		0	Southern Chuanqiandian	ratliffhmongmien
1089	Luopohe-303-ontopof-1			ATOP	on top of		Luopohe	5 Luopohe Hmong [hml]	luop1235	s a ᴬ/¹	57		0	Luopohe	ratliffhmongmien
5026	EasternLuobuohe-476_on-1	Hmongic		ATOP	on		EasternLuobuohe	Luobuohe, Eastern	luop1235	p ə ⁰/⁵ + s a ³³	57		0	Luopohe	chenhmongmien
5027	WesternLuobuohe-476_on-1	Hmongic		ATOP	on		WesternLuobuohe	Luobuohe, Western	luop1235	χ ə ⁵⁵ + s ɑ ³¹	57		0	Luopohe	chenhmongmien
5028	SouthernGuizhouChuanqiandian-476_on-1	Hmongic		ATOP	on		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ¹³ + p e ¹¹	57		0	Southern Chuanqiandian	chenhmongmien
5029	WesternXiangxi-476_on-1	Hmongic		ATOP	on		WesternXiangxi	Xiangxi, West	west2430	k ɯ ⁴⁴ + l o ⁵³	57		0	Western Xiangxi	chenhmongmien
5030	NorthernQiandong-476_on-1	Hmongic		ATOP	on		NorthernQiandong	Qiandong, North	nort2747	k i ⁵⁵ + v ɛ ⁵⁵	57		0	Northern Qiandong	chenhmongmien
5031	WesternBaheng-476_on-1	Hmongic		ATOP	on		WesternBaheng	Baheng, West	pahn1237	ʔ a ⁰/³ + w a ŋ ³³	57		0	Baheng	chenhmongmien
5032	EasternBaheng-476_on-1	Hmongic		ATOP	on		EasternBaheng	Baheng, East	pahn1237	q a ⁰/³ + w a ŋ ³³ + ɕ o ³⁵	57		0	Baheng	chenhmongmien
5033	Jiongnai-476_on-1	Hmongic		ATOP	on		Jiongnai	Jiongnai	jion1236	ⁿtʰ j a ³⁵ + p i n ⁴⁴	57		0	Jiongnai	chenhmongmien
5034	Mien-476_on-1	Mienic		ATOP	on		Mien	Mien	iumi1238	k u ³¹ + ŋ aːi ²¹	57		0	Mien	chenhmongmien
5035	KimMun-476_on-1	Mienic		ATOP	on		KimMun	Kim Mun	kimm1245	k a ⁰/² + tʃ ei ⁴²	57		0	Kim Mun	chenhmongmien
5036	BiaoMin-476_on-1	Mienic		ATOP	on		BiaoMin	Biao Min	biao1254	k a ⁴² + s u ³³	57		0	Biao Min	chenhmongmien
5037	ZaoMin-476_on-1	Mienic		ATOP	on		ZaoMin	Zao Min	dzao1238	h o ⁴² + m i ⁵³	57		0	Zao Min	chenhmongmien
1661	NorthernQiandongMiao-145-eggplant-1			AUBERGINE	eggplant		NorthernQiandongMiao	1 Northern Qiandong Miao [hea]	nort2747	tɕ a ²	1146		0	Northern Qiandong	ratliffhmongmien
1662	CentralMashanHmong-145-eggplant-1			AUBERGINE	eggplant		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	tɕ əa ⁶/¹³	1146		0	Southern Chuanqiandian	ratliffhmongmien
1663	luMien-145-eggplant-1			AUBERGINE	eggplant		luMien	8 Iu Mien [ium]	iumi1238	tɕ e ²	1146		0	Mien	ratliffhmongmien
1664	BiaoMon-145-eggplant-1			AUBERGINE	eggplant		BiaoMon	10 Biao Mon [bmt]	biao1256	ȶ a ²	1146		0	Biao Min	ratliffhmongmien
1665	DzaoMin-145-eggplant-1			AUBERGINE	eggplant		DzaoMin	11 Dzao Min [bpn]	dzao1238	k j ɛ ²	1146		0	Zao Min	ratliffhmongmien
4076	EasternLuobuohe-233_aubergine-1	Hmongic		AUBERGINE	aubergine		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + q l ei ²⁴ + ʑ a ŋ ³¹	1146		0	Luopohe	chenhmongmien
4077	WesternLuobuohe-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternLuobuohe	Luobuohe, Western	luop1235	q o ⁰/⁵ + ʑ ɑ ŋ ³¹ + q ɑ ŋ ⁵⁵	1146		0	Luopohe	chenhmongmien
4078	SouthernGuizhouChuanqiandian-233_aubergine-1	Hmongic		AUBERGINE	aubergine		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	h u/w ei ³² + tɕ ə ¹³	1146		0	Southern Chuanqiandian	chenhmongmien
4079	WesternXiangxi-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternXiangxi	Xiangxi, West	west2430	k w ɑ ŋ ⁵⁵	1146		0	Western Xiangxi	chenhmongmien
4080	NorthernQiandong-233_aubergine-1	Hmongic		AUBERGINE	aubergine		NorthernQiandong	Qiandong, North	nort2747	tɕ a ⁵⁵	1146		0	Northern Qiandong	chenhmongmien
4081	WesternBaheng-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternBaheng	Baheng, West	pahn1237	t j ei ³¹ + tɕ ei ⁵⁵	1146		0	Baheng	chenhmongmien
4082	EasternBaheng-233_aubergine-1	Hmongic		AUBERGINE	aubergine		EasternBaheng	Baheng, East	pahn1237	p j ei ³¹³ + ts ei ⁵⁵	1146		0	Baheng	chenhmongmien
4083	Jiongnai-233_aubergine-1	Hmongic		AUBERGINE	aubergine		Jiongnai	Jiongnai	jion1236	k w ei ⁴⁴ + k a ¹¹ + ð au ¹¹	1146		0	Jiongnai	chenhmongmien
4084	Mien-233_aubergine-1	Mienic		AUBERGINE	aubergine		Mien	Mien	iumi1238	tɕ e ³¹	1146		0	Mien	chenhmongmien
4085	KimMun-233_aubergine-1	Mienic		AUBERGINE	aubergine		KimMun	Kim Mun	kimm1245	k w a ³¹ + d j a ŋ ⁵¹	1146		0	Kim Mun	chenhmongmien
4086	BiaoMin-233_aubergine-1	Mienic		AUBERGINE	aubergine		BiaoMin	Biao Min	biao1254	t j a ³¹	1146		0	Biao Min	chenhmongmien
4087	ZaoMin-233_aubergine-1	Mienic		AUBERGINE	aubergine		ZaoMin	Zao Min	dzao1238	tɕ a ⁵³	1146		0	Zao Min	chenhmongmien
58	luMien-32-axe-1			AXE	axe		luMien	8 Iu Mien [ium]	iumi1238	p ou ³	677		0	Mien	ratliffhmongmien
59	KimMun-32-axe-1			AXE	axe		KimMun	9 Kim Mun [mji]	kimm1245	p ɔu ³	677		0	Kim Mun	chenhmongmien
60	BiaoMon-32-axe-1			AXE	axe		BiaoMon	10 Biao Mon [bmt]	biao1256	b əu ³	677		0	Biao Min	ratliffhmongmien
61	DzaoMin-32-axe-1			AXE	axe		DzaoMin	11 Dzao Min [bpn]	dzao1238	p u ³	677		0	Zao Min	ratliffhmongmien
651	NorthernQiandongMiao-32-axe-1			AXE	axe		NorthernQiandongMiao	1 Northern Qiandong Miao [hea]	nort2747	t o ⁵	677		0	Northern Qiandong	ratliffhmongmien
652	WesternXiangxiMiao-32-axe-1			AXE	axe		WesternXiangxiMiao	2 Western Xiangxi Miao [mmr]	west2430	t ɔ ⁵	677		0	Western Xiangxi	ratliffhmongmien
653	CentralMashanHmong-32-axe-1			AXE	axe		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	t ɔ ⁵ᵃ/⁵	677		0	Southern Chuanqiandian	ratliffhmongmien
654	Luopohe-32-axe-1			AXE	axe		Luopohe	5 Luopohe Hmong [hml]	luop1235	t u ᶜ/³	677		0	Luopohe	ratliffhmongmien
655	JiongnaiBunu-32-axe-1			AXE	axe		JiongnaiBunu	6 Jiongnai Bunu [pnu]	jion1236	ð ei ⁵	677		0	Jiongnai	ratliffhmongmien
656	PaHng-32-axe-1			AXE	axe		PaHng	7 Pa-Hng [pha]	pahn1237	t i ⁵	677		0	Baheng	ratliffhmongmien
4527	EasternLuobuohe-336_axe-1	Hmongic		AXE	axe		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + t y ²⁴	677		0	Luopohe	chenhmongmien
4528	WesternLuobuohe-336_axe-1	Hmongic		AXE	axe		WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + t u ³⁵	677		0	Luopohe	chenhmongmien
4529	SouthernGuizhouChuanqiandian-336_axe-1	Hmongic		AXE	axe		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	t ɔ ⁵⁵	677		0	Southern Chuanqiandian	chenhmongmien
4530	WesternXiangxi-336_axe-1	Hmongic		AXE	axe		WesternXiangxi	Xiangxi, West	west2430	q o ³⁵ + t ɔ ⁵³	677		0	Western Xiangxi	chenhmongmien
4531	NorthernQiandong-336_axe-1	Hmongic		AXE	axe		NorthernQiandong	Qiandong, North	nort2747	t o ⁴⁴	677		0	Northern Qiandong	chenhmongmien
4532	WesternBaheng-336_axe-1	Hmongic		AXE	axe		WesternBaheng	Baheng, West	pahn1237	t ei ⁵⁵	677		0	Baheng	chenhmongmien
4533	EasternBaheng-336_axe-1	Hmongic		AXE	axe		EasternBaheng	Baheng, East	pahn1237	t i ⁵⁵	677		0	Baheng	chenhmongmien
4534	Jiongnai-336_axe-1	Hmongic		AXE	axe		Jiongnai	Jiongnai	jion1236	ð ei ³⁵	677		0	Jiongnai	chenhmongmien
4535	Mien-336_axe-1	Mienic		AXE	axe		Mien	Mien	iumi1238	p əu ⁵³	677		0	Mien	chenhmongmien
4536	KimMun-336_axe-1	Mienic		AXE	axe		KimMun	Kim Mun	kimm1245	ˀp oːu ⁵¹	677		0	Kim Mun	chenhmongmien
4537	BiaoMin-336_axe-1	Mienic		AXE	axe		BiaoMin	Biao Min	biao1254	b əu ³⁵	677		0	Biao Min	chenhmongmien
4538	ZaoMin-336_axe-1	Mienic		AXE	axe		ZaoMin	Zao Min	dzao1238	b u ²⁴	677		0	Zao Min	chenhmongmien
754	luMien-33-backofbody-1			BACK	back (of body)		luMien	8 Iu Mien [ium]	iumi1238	t a n ⁴	1291		0	Mien	ratliffhmongmien
755	KimMun-33-backofbody-1			BACK	back (of body)		KimMun	9 Kim Mun [mji]	kimm1245	t a n ⁴	1291		0	Kim Mun	chenhmongmien
2380	NorthernQiandongMiao-33-backofbody-1			BACK	back (of body)		NorthernQiandongMiao	1 Northern Qiandong Miao [hea]	nort2747	k ə ⁸/²⁴	1291		0	Northern Qiandong	ratliffhmongmien
2381	CentralMashanHmong-33-backofbody-1			BACK	back (of body)		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	h u ⁸/²⁴	1291		0	Southern Chuanqiandian	ratliffhmongmien
2382	Luopohe-33-backofbody-1			BACK	back (of body)		Luopohe	5 Luopohe Hmong [hml]	luop1235	ʁ o ᴰ/⁴	1291		0	Luopohe	ratliffhmongmien
2383	JiongnaiBunu-33-backofbody-1			BACK	back (of body)		JiongnaiBunu	6 Jiongnai Bunu [pnu]	jion1236	k ɔ ⁸/²⁴	1291		0	Jiongnai	ratliffhmongmien
2384	PaHng-33-backofbody-1			BACK	back (of body)		PaHng	7 Pa-Hng [pha]	pahn1237	k ɯ ⁸/²⁴	1291		0	Baheng	ratliffhmongmien
111	NorthernQiandongMiao-35-badspoiled-1			BAD	bad/spoiled		NorthernQiandongMiao	1 Northern Qiandong Miao [hea]	nort2747	p a ⁴	1292		0	Northern Qiandong	ratliffhmongmien
112	WesternXiangxiMiao-35-badspoiled-1			BAD	bad/spoiled		WesternXiangxiMiao	2 Western Xiangxi Miao [mmr]	west2430	p ɑ ⁴	1292		0	Western Xiangxi	ratliffhmongmien
113	CentralMashanHmong-35-badspoiled-1			BAD	bad/spoiled		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	p əa ⁴	1292		0	Southern Chuanqiandian	ratliffhmongmien
114	Luopohe-35-badspoiled-1			BAD	bad/spoiled		Luopohe	5 Luopohe Hmong [hml]	luop1235	v u ᴮ/²	1292		0	Luopohe	ratliffhmongmien
5673	EasternLuobuohe-595_bad-1	Hmongic		BAD	bad		EasternLuobuohe	Luobuohe, Eastern	luop1235	t ə ⁰/² + ts a ⁵⁵	1292		0	Luopohe	chenhmongmien
5674	WesternLuobuohe-595_bad-1	Hmongic		BAD	bad		WesternLuobuohe	Luobuohe, Western	luop1235	t ə ⁰/² + ts ɑ ⁵⁵	1292		0	Luopohe	chenhmongmien
5675	SouthernGuizhouChuanqiandian-595_bad-1	Hmongic		BAD	bad		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	p ə ¹¹	1292		0	Southern Chuanqiandian	chenhmongmien
5676	WesternXiangxi-595_bad-1	Hmongic		BAD	bad		WesternXiangxi	Xiangxi, West	west2430	tɕ ɑ ⁴⁴	1292		0	Western Xiangxi	chenhmongmien
5677	NorthernQiandong-595_bad-1	Hmongic		BAD	bad		NorthernQiandong	Qiandong, North	nort2747	ʑ a ŋ ³¹	1292		0	Northern Qiandong	chenhmongmien
5678	NorthernQiandong-595_bad-2	Hmongic		BAD	bad		NorthernQiandong	Qiandong, North	nort2747	q a ³³ + ɬʲ a ⁵⁵	1292		0	Northern Qiandong	chenhmongmien
5679	WesternBaheng-595_bad-1	Hmongic		BAD	bad		WesternBaheng	Baheng, West	pahn1237	p ei ¹¹	1292		0	Baheng	chenhmongmien
5680	EasternBaheng-595_bad-1	Hmongic		BAD	bad		EasternBaheng	Baheng, East	pahn1237	ɕ a ³⁵	1292		0	Baheng	chenhmongmien
5681	Jiongnai-595_bad-1	Hmongic		BAD	bad		Jiongnai	Jiongnai	jion1236	w ei ³¹	1292		0	Jiongnai	chenhmongmien
5682	Mien-595_bad-1	Mienic		BAD	bad		Mien	Mien	iumi1238	w aːi ²¹	1292		0	Mien	chenhmongmien
5683	KimMun-595_bad-1	Mienic		BAD	bad		KimMun	Kim Mun	kimm1245	h u ⁵¹	1292		0	Kim Mun	chenhmongmien
5684	KimMun-595_bad-2	Mienic		BAD	bad		KimMun	Kim Mun	kimm1245	ˀp ai ⁴²	1292		0	Kim Mun	chenhmongmien
5685	BiaoMin-595_bad-1	Mienic		BAD	bad		BiaoMin	Biao Min	biao1254	tsʰ a ³³	1292		0	Biao Min	chenhmongmien
5686	ZaoMin-595_bad-1	Mienic		BAD	bad		ZaoMin	Zao Min	dzao1238	v ai ²²	1292		0	Zao Min	chenhmongmien
1120	NorthernQiandongMiao-38-bamboo-1			BAMBOO	bamboo		NorthernQiandongMiao	1 Northern Qiandong Miao [hea]	nort2747	l̥ʰ o ³	1927		0	Northern Qiandong	ratliffhmongmien
1121	WesternXiangxiMiao-38-bamboo-1			BAMBOO	bamboo		WesternXiangxiMiao	2 Western Xiangxi Miao [mmr]	west2430	l̥ʰ o ³	1927		0	Western Xiangxi	ratliffhmongmien
1122	luMien-38-bamboo-1			BAMBOO	bamboo		luMien	8 Iu Mien [ium]	iumi1238	l̥ au ³	1927		0	Mien	ratliffhmongmien
1123	KimMun-38-bamboo-1			BAMBOO	bamboo		KimMun	9 Kim Mun [mji]	kimm1245	l ɔu ³	1927		0	Kim Mun	chenhmongmien
1124	BiaoMon-38-bamboo-1			BAMBOO	bamboo		BiaoMon	10 Biao Mon [bmt]	biao1256	ɬ au ³	1927		0	Biao Min	ratliffhmongmien
1125	DzaoMin-38-bamboo-1			BAMBOO	bamboo		DzaoMin	11 Dzao Min [bpn]	dzao1238	l au ³	1927		0	Zao Min	ratliffhmongmien
1232	CentralMashanHmong-38-bamboo-1			BAMBOO	bamboo		CentralMashanHmong	4 Central Mashan Hmong [hmm]	cent1394	ʈ ə ⁸/²⁴	1927		0	Southern Chuanqiandian	ratliffhmongmien
