ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	CHARACTERS	COGIDS	MORPHEMES	STRICTID	LOOSEID	COMMONID	SALIENTID
1856	Wenzhou	eye	ŋa²⁴ leŋ³⁴¹⁻⁴² tsɿ⁴⁴⁻²¹	ŋa²⁴ leŋ³⁴¹⁻⁴² tsɿ⁴⁴⁻²¹	ŋ a ²⁴ + l e ŋ ³⁴¹ + ts ɿ ⁴⁴		眼 灵 珠	369 374 373	eye/睛 _spirit/灵 pearl/珠	428	137	235	364
1857	Changsha	eye	ŋan⁴¹⁻⁴⁴ tɕin⁰	ŋan⁴¹⁻⁴⁴ tɕin⁰	ŋ a n ⁴¹ + tɕ i n ⁰		眼 睛	369 370	eye/睛 eye.ball/睛	425	137	235	362
1858	Loudi	eye	ŋã⁴² tɕy⁴⁴⁻³³	ŋã⁴² tɕy⁴⁴⁻³³	ŋ ã ⁴² + tɕ y ⁴⁴		眼 珠	369 373	eye/睛 pearl/珠	429	137	235	364
1859	Nanchang	eye	ŋan²¹³ tɕiaŋ⁰	ŋan²¹³ tɕiaŋ⁰	ŋ a n ²¹³ + tɕ j a ŋ ⁰		眼 睛	369 370	eye/睛 eye.ball/睛	425	137	235	362
1860	Meixian	eye	ŋian³¹ tsu³³	ŋian³¹ tsu³³	ŋ j a n ³¹ + ts u ³³		眼 珠	369 373	eye/睛 pearl/珠	429	137	235	364
1861	Guilin	eye	ŋã²³ tsei⁴²⁻²²	ŋã²³ tsei⁴²⁻²²	ŋ ã ²³ + ts ei ⁴²		眼 睛	369 370	eye/睛 eye.ball/睛	425	137	235	362
1862	Guangzhou	eye	ŋan²³ tsɛŋ⁵⁵	ŋan²³ tsɛŋ⁵⁵	ŋ a n ²³ + ts ɛ ŋ ⁵⁵		眼 睛	369 370	eye/睛 eye.ball/睛	425	137	235	362
1863	Fuzhou	eye	mɛiʔ⁵ tsieu⁵⁵	mɛiʔ⁵ tsieu⁵⁵	m ɛi ʔ ⁵ + ts j eu ⁵⁵		目 睭	375 376	eye/目 eye.ball/珠	430	137	238	365
1864	Xiamen	eye	bak⁵⁻³²* tsiu⁵⁵	bak⁵⁻³²* tsiu⁵⁵	b a k ⁵ + ts j u ⁵⁵		目 珠	375 373	eye/目 eye.ball/珠	431	137	237	366
2868	Beijing	fall	tiɑu⁵¹	tiɑu⁵¹	t j ɑu ⁵¹		掉	581	fall/掉	687	138	243	568
2869	Haerbin	fall	tiau⁵³	tiau⁵³	t j au ⁵³		掉	581	fall/掉	687	138	243	568
2870	Jinan	fall	tiɔ³¹	tiɔ³¹	t j ɔ ³¹		掉	581	fall/掉	687	138	243	568
2871	Rongcheng	fall	tiau³³⁴	tiau³³⁴	t j au ³³⁴		掉	581	fall/掉	687	138	243	568
2872	Taiyuan	fall	tiau⁴⁵	tiau⁴⁵	t j au ⁴⁵		掉	581	fall/掉	687	138	243	568
2875	XiAn	fall	tiɑu⁴⁴	tiɑu⁴⁴	t j ɑu ⁴⁴		掉	581	fall/掉	687	138	243	568
2877	Chengdu	fall	tiau²¹³	tiau²¹³	t j au ²¹³		掉	581	fall/掉	687	138	243	568
2879	Nanjing	fall	tiɔ⁴⁴	tiɔ⁴⁴	t j ɔ ⁴⁴		掉	581	fall/掉	687	138	243	568
2880	Jixi	fall	noʔ³²*	noʔ³²*	n o ʔ ³²		落	583	descend/落	688	141	244	569
2882	Suzhou	fall	dəʔ²³*	dəʔ²³*	d ə ʔ ²³		特	584	fall/特	689	145	250	570
2883	Wenzhou	fall	daŋ²²	daŋ²²	d a ŋ ²²		遁	585	fall/遁	690	146	251	571
2884	Changsha	fall	tiau¹¹	tiau¹¹	t j au ¹¹	!b	掉	1025	fall/掉	691	139	245	572
2885	Loudi	fall	sua¹³	sua¹³	s w a ¹³		刷	586	fall/刷	692	143	248	573
2886	Nanchang	fall	tiɛt⁵	tiɛt⁵	t j ɛ t ⁵	!b	掉	1026	fall/掉	693	144	249	574
2887	Meixian	fall	lok⁵	lok⁵	l o k ⁵		落	583	descend/落	688	141	244	569
2888	Guilin	fall	tiɑu²⁵	tiɑu²⁵	t j ɑu ²⁵	!b	掉	1027	fall/掉	694	142	247	575
2889	Guangzhou	fall	lɔk²	lɔk²	l ɔ k ²		落	583	descend/落	688	141	244	569
2890	Fuzhou	fall	tɔuŋ²⁴²	tɔuŋ²⁴²	t ɔu ŋ ²⁴²		逿	587	fall/逿	695	140	246	576
2891	Xiamen	fall	lak³²*	lak³²*	l a k ³²		落	583	descend/落	688	141	244	569
2073	Beijing	far	yɛn²¹³	yɛn²¹³	ɥ ɛ n ²¹³		远	409	far/远	470	147	252	385
2074	Haerbin	far	yan²¹³	yan²¹³	ɥ a n ²¹³		远	409	far/远	470	147	252	385
2075	Jinan	far	yæ̃⁴⁵	yæ̃⁴⁵	ɥ æ̃ ⁴⁵		远	409	far/远	470	147	252	385
2076	Rongcheng	far	yɐn²¹⁴	yɐn²¹⁴	ɥ ɐ n ²¹⁴		远	409	far/远	470	147	252	385
2077	Taiyuan	far	ye⁵³	ye⁵³	ɥ e ⁵³		远	409	far/远	470	147	252	385
2078	XiAn	far	yæ̃⁵³	yæ̃⁵³	ɥ æ̃ ⁵³		远	409	far/远	470	147	252	385
2079	Chengdu	far	yan⁵³	yan⁵³	ɥ a n ⁵³		远	409	far/远	470	147	252	385
2080	Nanjing	far	yen¹¹	yen¹¹	ɥ e n ¹¹		远	409	far/远	470	147	252	385
2081	Jixi	far	yẽ²¹³	yẽ²¹³	ɥ ẽ ²¹³		远	409	far/远	470	147	252	385
2082	Suzhou	far	ɦiø²³¹	ɦiø²³¹	ɦ j ø ²³¹		远	409	far/远	470	147	252	385
2083	Wenzhou	far	ju²⁴	ju²⁴	j u ²⁴		远	409	far/远	470	147	252	385
2084	Changsha	far	yẽ⁴¹	yẽ⁴¹	ɥ ẽ ⁴¹		远	409	far/远	470	147	252	385
2085	Loudi	far	uĩ⁴²	uĩ⁴²	w ĩ ⁴²		远	409	far/远	470	147	252	385
2086	Nanchang	far	yon²¹³	yon²¹³	ɥ o n ²¹³		远	409	far/远	470	147	252	385
2087	Meixian	far	ian³¹	ian³¹	j a n ³¹		远	409	far/远	470	147	252	385
2088	Guilin	far	yã²³	yã²³	ɥ ã ²³		远	409	far/远	470	147	252	385
2089	Guangzhou	far	yn²³	yn²³	y n ²³		远	409	far/远	470	147	252	385
2090	Fuzhou	far	huoŋ²⁴²	huoŋ²⁴²	h w o ŋ ²⁴²		远	409	far/远	470	147	252	385
2091	Xiamen	far	uan⁵³	uan⁵³	w a n ⁵³		远	409	far/远	470	147	252	385
3130	Beijing	father	pᴀ⁵¹⁻⁵³ pᴀ⁰	pᴀ⁵¹⁻⁵³ pᴀ⁰	p a̠ ⁵¹ + p a̠ ⁰		爸 爸	470 803	father/爸 _father:RED/爸	728	148	253	600
3132	Haerbin	father	pa⁵³	pa⁵³	p a ⁵³		爸	470	father/爸	729	148	253	600
3134	Jinan	father	fu³¹⁻⁴⁴ tɕʰiẽ⁰	fu³¹⁻⁴⁴ tɕʰiẽ⁰	f u ³¹ + tɕʰ j ẽ ⁰		父 親	610 612	father/父 _sibling/親	730	149	255	601
3135	Rongcheng	father	tiɛ⁵²	tiɛ⁵²	t j ɛ ⁵²		爹	611	father/爹	731	151	263	602
3137	Taiyuan	father	fu⁴⁵ tɕʰiŋ²¹	fu⁴⁵ tɕʰiŋ²¹	f u ⁴⁵ + tɕʰ i ŋ ²¹		父 親	610 612	father/父 _sibling/親	730	149	255	601
3141	XiAn	father	fu⁴⁴ tɕʰiŋ	fu⁴⁴ tɕʰiŋ	f u ⁴⁴ + tɕʰ i ŋ		父 親	610 612	father/父 _sibling/親	730	149	255	601
3144	Chengdu	father	pa²¹³⁻⁵⁵ pa²¹³⁻²¹	pa²¹³⁻⁵⁵ pa²¹³⁻²¹	p a ²¹³ + p a ²¹³		爸 爸	470 803	father/爸 _father:RED/爸	728	148	253	600
3146	Nanjing	father	fu⁴⁴ tɕʰin⁴⁴	fu⁴⁴ tɕʰin⁴⁴	f u ⁴⁴ + tɕʰ i n ⁴⁴		父 親	610 612	father/父 _sibling/親	730	149	255	601
3147	Jixi	father	paʔ³²* paʔ⁰	paʔ³²* paʔ⁰	p a ʔ ³² + p a ʔ ⁰		爸 爸	470 803	father/爸 _father:RED/爸	728	148	253	600
3150	Suzhou	father	ɦiɑ¹³	ɦiɑ¹³	ɦ j ɑ ¹³		爺	242	father/爺	732	148	254	603
3151	Wenzhou	father	a⁴¹⁻² pa⁴⁴	a⁴¹⁻² pa⁴⁴	a ⁴¹ + p a ⁴⁴		阿 爸	614 470	_-sibling:PREF/阿 father/爸	733	148	253	600
3153	Changsha	father	ia¹³ lau⁴¹ kõ³³	ia¹³ lau⁴¹ kõ³³	j a ¹³ + l au ⁴¹ + k õ ³³		爺 老 倌	242 27 475	father/爺 old/老 person/倌	734	148	254	604
3157	Loudi	father	iɔ¹³ lɤ⁴² kuẽ⁰	iɔ¹³ lɤ⁴² kuẽ⁰	j ɔ ¹³ + l ɤ ⁴² + k w ẽ ⁰		爺 老 倌	242 27 475	father/爺 old/老 person/倌	734	148	254	604
3159	Nanchang	father	ia⁴⁵	ia⁴⁵	j a ⁴⁵		爷	242	father/爺	732	148	254	603
3160	Meixian	father	a³³ pa³³	a³³ pa³³	a ³³ + p a ³³		阿 爸	614 470	-sibling:PREF/阿 father/爸	733	148	253	605
3161	Guilin	father	mã⁵⁵	mã⁵⁵	m ã ⁵⁵		囗	754	father/?	735	150	262	606
3162	Guangzhou	father	fu²³	fu²³	f u ²³		父	610	father/父	736	149	255	601
3165	Fuzhou	father	i⁵⁵ ie⁵³	i⁵⁵ ie⁵³	i ⁵⁵ + j e ⁵³		依 爺	615 242	_sibling:PREF/依 father/爺	737	148	254	603
3167	Xiamen	father	lau²²⁻²¹ pe²²	lau²²⁻²¹ pe²²	l au ²² + p e ²²		老 爸	27 470	old/老 father/爸	738	148	253	607
25	Beijing	fear	pʰᴀ⁵¹	pʰᴀ⁵¹	pʰ a̠ ⁵¹		怕	11	fear/怕	9	152	264	7
26	Haerbin	fear	pʰa⁵³	pʰa⁵³	pʰ a ⁵³		怕	11	fear/怕	9	152	264	7
27	Jinan	fear	pʰa³¹	pʰa³¹	pʰ a ³¹		怕	11	fear/怕	9	152	264	7
28	Rongcheng	fear	pʰa³³⁴	pʰa³³⁴	pʰ a ³³⁴		怕	11	fear/怕	9	152	264	7
29	Taiyuan	fear	pʰa⁴⁵	pʰa⁴⁵	pʰ a ⁴⁵		怕	11	fear/怕	9	152	264	7
30	XiAn	fear	pʰɑ⁴⁴	pʰɑ⁴⁴	pʰ ɑ ⁴⁴		怕	11	fear/怕	9	152	264	7
31	Chengdu	fear	pʰa²¹³	pʰa²¹³	pʰ a ²¹³		怕	11	fear/怕	9	152	264	7
33	Nanjing	fear	pʰɑ⁴⁴	pʰɑ⁴⁴	pʰ ɑ ⁴⁴		怕	11	fear/怕	9	152	264	7
34	Jixi	fear	pʰo³⁵	pʰo³⁵	pʰ o ³⁵		怕	11	fear/怕	9	152	264	7
35	Suzhou	fear	pʰo⁴¹²	pʰo⁴¹²	pʰ o ⁴¹²	!b	怕	835	fear/怕	10	155	267	8
36	Wenzhou	fear	ho⁴¹	ho⁴¹	h o ⁴¹		唬	13	fear/唬	11	156	268	9
37	Changsha	fear	pʰa⁵⁵	pʰa⁵⁵	pʰ a ⁵⁵		怕	11	fear/怕	9	152	264	7
38	Loudi	fear	pʰɔ³⁵	pʰɔ³⁵	pʰ ɔ ³⁵		怕	11	fear/怕	9	152	264	7
39	Nanchang	fear	pʰa²¹³	pʰa²¹³	pʰ a ²¹³		怕	11	fear/怕	9	152	264	7
40	Meixian	fear	pʰa⁵³	pʰa⁵³	pʰ a ⁵³	!b	怕	836	fear/怕	12	154	266	10
42	Meixian	fear	kiaŋ⁴⁴	kiaŋ⁴⁴	k j a ŋ ⁴⁴		驚	15	fear/驚	13	153	265	11
43	Guilin	fear	pʰᴀ²⁵	pʰᴀ²⁵	pʰ a̠ ²⁵		怕	11	fear/怕	9	152	264	7
44	Guangzhou	fear	pʰa³³	pʰa³³	pʰ a ³³		怕	11	fear/怕	9	152	264	7
45	Fuzhou	fear	kiaŋ⁵⁵	kiaŋ⁵⁵	k j a ŋ ⁵⁵		驚	15	fear/驚	13	153	265	11
46	Xiamen	fear	kiã⁵⁵	kiã⁵⁵	k j ã ⁵⁵		驚	15	fear/驚	13	153	265	11
2011	Beijing	feather	y²¹³⁻²¹ mɑu³⁵	y²¹³⁻²¹ mɑu³⁵	y ²¹³ + m ɑu ³⁵		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2012	Haerbin	feather	y²¹³⁻²¹ maur²⁴	y²¹³⁻²¹ maur²⁴	y ²¹³ + m au ²⁴		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2013	Jinan	feather	y⁴⁵ mɔ⁵³	y⁴⁵ mɔ⁵³	y ⁴⁵ + m ɔ ⁵³		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2015	Rongcheng	feather	y²¹³ mɔ⁵²	y²¹³ mɔ⁵²	y ²¹³ + m ɔ ⁵²		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2016	Taiyuan	feather	y⁵³ mau²¹	y⁵³ mau²¹	y ⁵³ + m au ²¹		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2017	XiAn	feather	mɑu²⁴	mɑu²⁴	m ɑu ²⁴		毛	263	hair.feather.fur/毛	463	157	269	251
2018	Chengdu	feather	y⁵³⁻⁴⁵ mau²¹	y⁵³⁻⁴⁵ mau²¹	y ⁵³ + m au ²¹		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2019	Nanjing	feather	i¹¹⁻²¹ mɔ¹³	i¹¹⁻²¹ mɔ¹³	i ¹¹ + m ɔ ¹³		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2020	Jixi	feather	y²¹³⁻³¹ mɤ⁴⁴	y²¹³⁻³¹ mɤ⁴⁴	y ²¹³ + m ɤ ⁴⁴		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2023	Suzhou	feather	mæ¹³	mæ¹³	m æ ¹³		毛	263	hair.feather.fur/毛	463	157	269	251
2025	Wenzhou	feather	mə³⁴¹	mə³⁴¹	m ə ³⁴¹		毛	263	hair.feather.fur/毛	463	157	269	251
2026	Changsha	feather	y⁴¹ mau¹³	y⁴¹ mau¹³	y ⁴¹ + m au ¹³		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2027	Loudi	feather	y⁴² mɤ¹³⁻³³	y⁴² mɤ¹³⁻³³	y ⁴² + m ɤ ¹³		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2028	Nanchang	feather	y²¹³ mau⁴⁵	y²¹³ mau⁴⁵	y ²¹³ + m au ⁴⁵		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2029	Meixian	feather	i³³ mau³³	i³³ mau³³	i ³³ + m au ³³		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2030	Guilin	feather	mɑu²²	mɑu²²	m ɑu ²²		毛	263	hair.feather.fur/毛	463	157	269	251
2031	Guangzhou	feather	y²³ mou²¹	y²³ mou²¹	y ²³ + m ou ²¹		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2032	Fuzhou	feather	y³² mau⁵³	y³² mau⁵³	y ³² + m au ⁵³		羽 毛	403 263	_feather/羽 hair.feather.fur/毛	462	157	269	251
2033	Fuzhou	feather	mau⁵³⁻³³ mau⁵³	mau⁵³⁻³³ mau⁵³	m au ⁵³ + m au ⁵³		毛 毛	263 776	hair.feather.fur/毛 _hair:RED	464	157	269	251
2034	Xiamen	feather	sit⁵⁻³²* mŋ̍²⁴	sit⁵⁻³²* mŋ̍²⁴	s i t ⁵ + m ŋ̍ ²⁴		翼 毛	404 263	_wing/翼 hair.feather.fur/毛	465	157	269	251
624	Beijing	few	ʂɑu⁵¹	ʂɑu⁵¹	ʂ ɑu ⁵¹		少	141	few/少	141	158	273	119
625	Haerbin	few	ʂau²¹³	ʂau²¹³	ʂ au ²¹³		少	141	few/少	141	158	273	119
626	Jinan	few	ʂɔ⁴⁵	ʂɔ⁴⁵	ʂ ɔ ⁴⁵		少	141	few/少	141	158	273	119
627	Rongcheng	few	ʂau³³⁴	ʂau³³⁴	ʂ au ³³⁴		少	141	few/少	141	158	273	119
628	Taiyuan	few	sau⁵³	sau⁵³	s au ⁵³		少	141	few/少	141	158	273	119
629	XiAn	few	ʂɑu⁵³	ʂɑu⁵³	ʂ ɑu ⁵³		少	141	few/少	141	158	273	119
630	Chengdu	few	sau⁵³	sau⁵³	s au ⁵³		少	141	few/少	141	158	273	119
632	Nanjing	few	sɔ¹¹	sɔ¹¹	s ɔ ¹¹		少	141	few/少	141	158	273	119
633	Jixi	few	ɕie²¹³	ɕie²¹³	ɕ j e ²¹³		少	141	few/少	141	158	273	119
634	Suzhou	few	sæ⁵²	sæ⁵²	s æ ⁵²		少	141	few/少	141	158	273	119
635	Wenzhou	few	ɕiɛ²⁴²	ɕiɛ²⁴²	ɕ j ɛ ²⁴²		少	141	few/少	141	158	273	119
636	Changsha	few	sau⁴¹	sau⁴¹	s au ⁴¹		少	141	few/少	141	158	273	119
637	Loudi	few	ɕiɤ⁴²	ɕiɤ⁴²	ɕ j ɤ ⁴²		少	141	few/少	141	158	273	119
638	Nanchang	few	sɛu²¹³	sɛu²¹³	s ɛu ²¹³		少	141	few/少	141	158	273	119
639	Meixian	few	sau³¹	sau³¹	s au ³¹		少	141	few/少	141	158	273	119
640	Guilin	few	sɑu²³	sɑu²³	s ɑu ²³		少	141	few/少	141	158	273	119
641	Guangzhou	few	siu³⁵	siu³⁵	s j u ³⁵		少	141	few/少	141	158	273	119
642	Fuzhou	few	tsieu³²	tsieu³²	ts j eu ³²		少	141	few/少	141	158	273	119
643	Xiamen	few	tsio⁵³	tsio⁵³	ts j o ⁵³		少	141	few/少	141	158	273	119
2780	Beijing	fight	tɑ²¹⁴⁻²¹ tɕiɑ⁵¹	tɑ²¹⁴⁻²¹ tɕiɑ⁵¹	t ɑ ²¹⁴ + tɕ j ɑ ⁵¹		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2781	Haerbin	fight	ta²¹³⁻²¹ tɕia⁵³	ta²¹³⁻²¹ tɕia⁵³	t a ²¹³ + tɕ j a ⁵³		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2784	Jinan	fight	ta⁴⁵ tɕia²¹	ta⁴⁵ tɕia²¹	t a ⁴⁵ + tɕ j a ²¹		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2785	Rongcheng	fight	ta²¹⁴⁻² tʂaŋ³³⁴	ta²¹⁴⁻² tʂaŋ³³⁴	t a ²¹⁴ + ʈʂ a ŋ ³³⁴		打 仗	115 564	_beat:V/打 fight/仗	665	159	274	549
2786	Taiyuan	fight	ta⁵³ tɕia⁴⁵	ta⁵³ tɕia⁴⁵	t a ⁵³ + tɕ j a ⁴⁵		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2787	XiAn	fight	tɑ⁵³ pfʰei²⁴	tɑ⁵³ pfʰei²⁴	t ɑ ⁵³ + pfʰ ei ²⁴		打 捶	115 566	_beat:V/打 fight:N/捶	666	159	274	550
2788	Chengdu	fight	ta⁵³⁻⁵⁵ tɕia²¹³	ta⁵³⁻⁵⁵ tɕia²¹³	t a ⁵³ + tɕ j a ²¹³		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2789	Chengdu	fight	ta⁵³⁻⁵⁵ tsʰuei²¹	ta⁵³⁻⁵⁵ tsʰuei²¹	t a ⁵³ + tsʰ w ei ²¹		打 錘	115 567	_beat:V/打 fight:N/錘	667	159	274	551
2791	Nanjing	fight	tɑ¹¹⁻²² tɕiɑ⁴⁴⁻²²	tɑ¹¹⁻²² tɕiɑ⁴⁴⁻²²	t ɑ ¹¹ + tɕ j ɑ ⁴⁴		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2792	Jixi	fight	tɔ²¹³⁻³¹ ko³⁵	tɔ²¹³⁻³¹ ko³⁵	t ɔ ²¹³ + k o ³⁵		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2793	Suzhou	fight	tã⁵² siã⁴⁴⁻³¹ tã⁵²⁻³¹	tã⁵² siã⁴⁴⁻³¹ tã⁵²⁻³¹	t ã ⁵² + s j ã ⁴⁴ + t ã ⁵²		打 相 打	115 288 115	_beat:V/打 fight:N/相 _beat:V/打	668	159	274	552
2794	Wenzhou	fight	tiə²⁴²⁻²⁴ tsʰɿ⁰	tiə²⁴²⁻²⁴ tsʰɿ⁰	t j ə ²⁴² + tsʰ ɿ ⁰		打 起	115 245	beat:V/打 _raise:SUF/起	669	159	274	546
2796	Changsha	fight	ta⁴¹⁻⁴⁴ tɕia⁵⁵	ta⁴¹⁻⁴⁴ tɕia⁵⁵	t a ⁴¹ + tɕ j a ⁵⁵		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2797	Loudi	fight	ta⁴² tɕiɔ³⁵	ta⁴² tɕiɔ³⁵	t a ⁴² + tɕ j ɔ ³⁵		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2798	Nanchang	fight	ta²¹³ ka⁴⁵	ta²¹³ ka⁴⁵	t a ²¹³ + k a ⁴⁵		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2799	Meixian	fight	ta³¹ kau³³⁻⁵³ e⁰	ta³¹ kau³³⁻⁵³ e⁰	t a ³¹ + k au ³³ + e ⁰	儿	打 交 儿	115 571 770	_beat:V/打 fight/交 _:SUF/儿	670	159	274	553
2800	Guilin	fight	tɑ²³ kɑ²⁵	tɑ²³ kɑ²⁵	t ɑ ²³ + k ɑ ²⁵		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2801	Guangzhou	fight	ta³⁵ kau⁵⁵	ta³⁵ kau⁵⁵	t a ³⁵ + k au ⁵⁵		打 架	115 563	_beat:V/打 fight:N/架	664	159	274	548
2802	Fuzhou	fight	souŋ⁵⁵⁻⁵³ pʰaʔ²¹*	souŋ⁵⁵⁻⁵³ pʰaʔ²¹*	s ou ŋ ⁵⁵ + pʰ a ʔ ²¹		相 拍	288 562	fight:N/相 _hit/拍	671	159	276	552
2803	Xiamen	fight	sio⁵⁵⁻²² pʰaʔ³²*	sio⁵⁵⁻²² pʰaʔ³²*	s io ⁵⁵ + pʰ a ʔ ³²		相 拍	288 562	fight:N/相 _hit/拍	671	159	276	552
3663	Beijing	fire	xuo²¹⁴	xuo²¹⁴	x w o ²¹⁴		火	672	fire/火	850	160	284	692
3664	Haerbin	fire	xuo²¹³	xuo²¹³	x w o ²¹³		火	672	fire/火	850	160	284	692
3665	Jinan	fire	xuɤ⁴⁵	xuɤ⁴⁵	x w ɤ ⁴⁵		火	672	fire/火	850	160	284	692
3666	Rongcheng	fire	xuɔ²¹⁴	xuɔ²¹⁴	x w ɔ ²¹⁴		火	672	fire/火	850	160	284	692
3667	Taiyuan	fire	xuɤ⁵³	xuɤ⁵³	x w ɤ ⁵³		火	672	fire/火	850	160	284	692
3668	XiAn	fire	xuo⁵³	xuo⁵³	x w o ⁵³		火	672	fire/火	850	160	284	692
3669	Chengdu	fire	xo⁵³	xo⁵³	x o ⁵³		火	672	fire/火	850	160	284	692
3670	Nanjing	fire	xo¹¹	xo¹¹	x o ¹¹		火	672	fire/火	850	160	284	692
3671	Jixi	fire	xɵ²¹³	xɵ²¹³	x ɵ ²¹³		火	672	fire/火	850	160	284	692
3672	Suzhou	fire	həu⁵²	həu⁵²	h əu ⁵²		火	672	fire/火	850	160	284	692
3673	Wenzhou	fire	fu²⁴²	fu²⁴²	f u ²⁴²		火	672	fire/火	850	160	284	692
3674	Changsha	fire	xo⁴¹	xo⁴¹	x o ⁴¹		火	672	fire/火	850	160	284	692
3675	Loudi	fire	xo⁴²	xo⁴²	x o ⁴²		火	672	fire/火	850	160	284	692
3676	Nanchang	fire	fo²¹³	fo²¹³	f o ²¹³		火	672	fire/火	850	160	284	692
3677	Meixian	fire	fo³¹	fo³¹	f o ³¹		火	672	fire/火	850	160	284	692
3678	Guilin	fire	xuo²³	xuo²³	x w o ²³		火	672	fire/火	850	160	284	692
3679	Guangzhou	fire	fɔ³⁵	fɔ³⁵	f ɔ ³⁵		火	672	fire/火	850	160	284	692
3680	Fuzhou	fire	huoi³²	huoi³²	h w oi ³²		火	672	fire/火	850	160	284	692
3681	Xiamen	fire	he⁵³	he⁵³	h e ⁵³		火	672	fire/火	850	160	284	692
1992	Beijing	fish	y³⁵	y³⁵	y ³⁵		鱼	402	fish/鱼	460	161	285	381
1993	Haerbin	fish	y²⁴	y²⁴	y ²⁴		鱼	402	fish/鱼	460	161	285	381
1994	Jinan	fish	y⁵³	y⁵³	y ⁵³		鱼	402	fish/鱼	460	161	285	381
1995	Rongcheng	fish	y⁵²	y⁵²	y ⁵²		鱼	402	fish/鱼	460	161	285	381
1996	Taiyuan	fish	y²¹	y²¹	y ²¹		鱼	402	fish/鱼	460	161	285	381
1997	XiAn	fish	y²⁴	y²⁴	y ²⁴		鱼	402	fish/鱼	460	161	285	381
1998	Chengdu	fish	y²¹	y²¹	y ²¹		鱼	402	fish/鱼	460	161	285	381
1999	Nanjing	fish	yi¹³	yi¹³	ɥ i ¹³		鱼	402	fish/鱼	460	161	285	381
2000	Jixi	fish	ȵy⁴⁴	ȵy⁴⁴	ɲ y ⁴⁴		鱼	402	fish/鱼	460	161	285	381
2001	Suzhou	fish	ŋ̍¹³	ŋ̍¹³	ŋ̍ ¹³		鱼	402	fish/鱼	460	161	285	381
2002	Wenzhou	fish	ŋøy³⁴¹	ŋøy³⁴¹	ŋ øy ³⁴¹		鱼	402	fish/鱼	460	161	285	381
2003	Changsha	fish	y¹³	y¹³	y ¹³		鱼	402	fish/鱼	460	161	285	381
2004	Loudi	fish	y¹³	y¹³	y ¹³		鱼	402	fish/鱼	460	161	285	381
2005	Nanchang	fish	ȵie⁴⁵	ȵie⁴⁵	ɲ j e ⁴⁵		鱼	402	fish/鱼	460	161	285	381
2006	Meixian	fish	n̩¹¹	n̩¹¹	n n̩ ¹¹		鱼	402	fish/鱼	460	161	285	381
2007	Guilin	fish	ŋ̍t²³ sɿ⁰ te³³	ŋ̍t²³ sɿ⁰ te³³	ŋ̍ t ²³ + s ɿ ⁰ + t e ³³		囗 囗 囗	402 756 757	fish/鱼 _fish/? _fish/?	461	161	285	381
2008	Guangzhou	fish	y²¹	y²¹	y ²¹		鱼	402	fish/鱼	460	161	285	381
2009	Fuzhou	fish	ŋy⁵³	ŋy⁵³	ŋ y ⁵³		鱼	402	fish/鱼	460	161	285	381
2010	Xiamen	fish	hi²⁴	hi²⁴	h i ²⁴		鱼	402	fish/鱼	460	161	285	381
1502	Beijing	five	u²¹³	u²¹³	u ²¹³		五	324	five/五	370	162	288	319
1503	Haerbin	five	u²¹³	u²¹³	u ²¹³		五	324	five/五	370	162	288	319
1504	Jinan	five	u⁴⁵	u⁴⁵	u ⁴⁵		五	324	five/五	370	162	288	319
1505	Rongcheng	five	u²¹⁴	u²¹⁴	u ²¹⁴		五	324	five/五	370	162	288	319
1506	Taiyuan	five	u⁵³	u⁵³	u ⁵³		五	324	five/五	370	162	288	319
1507	XiAn	five	u⁵³	u⁵³	u ⁵³		五	324	five/五	370	162	288	319
1508	Chengdu	five	u⁵³	u⁵³	u ⁵³		五	324	five/五	370	162	288	319
